Attack metrics report
Dataset: spambase
Attack: deepfool
alpha=0.001, maxiters=500

Correctly-classified originals: 2058/2301
Successfully attacked (among correct): 2041/2058
ASR (among correct): 0.9917

Changed samples among correct (any feature changed): 2058/2058
Max |delta| among correct: 0.099411

Changed samples among successful attacks: 2041/2041
Max |delta| among successful attacks: 0.089481

Summary of perturbation size (delta = X_adv - X_test) over correctly-classified originals
  MAE  : mean=0.00988095 median=0.00776963 min=6.22247e-05 max=0.0469053
  RMSE : mean=0.013246 median=0.0105419 min=9.50558e-05 max=0.0557539
  L1   : mean=0.563214 median=0.442869 min=0.00354681 max=2.6736
  L2   : mean=0.100005 median=0.0795897 min=0.000717656 max=0.420933
  Linf : mean=0.0237594 median=0.0186552 min=0.000182563 max=0.099411

Original vs Perturbed (these can look very similar if delta is small)
Subset: correctly-classified originals
  MAE  : orig_mean=0.0158086 adv_mean=0.0214449 mean|diff|=0.00563628 max|diff|=0.0267989
  RMSE : orig_mean=0.0514402 adv_mean=0.0505428 mean|diff|=0.00209625 max|diff|=0.0191729
  L1   : orig_mean=0.901089 adv_mean=1.22236 mean|diff|=0.321268 max|diff|=1.52754
  L2   : orig_mean=0.388365 adv_mean=0.381589 mean|diff|=0.0158264 max|diff|=0.144753
  Linf : orig_mean=0.281171 adv_mean=0.270571 mean|diff|=0.0141226 max|diff|=0.099411

Subset: successfully-attacked (among correct)
  MAE  : orig_mean=0.0154053 adv_mean=0.020936 mean|diff|=0.00553073 max|diff|=0.0254841
  RMSE : orig_mean=0.050285 adv_mean=0.0494852 mean|diff|=0.00200858 max|diff|=0.0148291
  L1   : orig_mean=0.878103 adv_mean=1.19335 mean|diff|=0.315252 max|diff|=1.45259
  L2   : orig_mean=0.379643 adv_mean=0.373605 mean|diff|=0.0151644 max|diff|=0.111957
  Linf : orig_mean=0.27633 adv_mean=0.266043 mean|diff|=0.0138384 max|diff|=0.0865824

Per-sample details (correctly-classified originals)
idx,attack_success,changed,mae_delta,rmse_delta,l1_delta,l2_delta,linf_delta
1,1,1,0.00583345,0.00698676,0.332507,0.0527489,0.0116475
3,1,1,0.0140684,0.0164348,0.801901,0.12408,0.0283067
4,1,1,0.00485978,0.00651709,0.277007,0.049203,0.0115878
5,1,1,0.0140917,0.0193852,0.803225,0.146355,0.0338539
6,1,1,0.0048065,0.00727453,0.27397,0.0549215,0.0138868
7,1,1,0.0134473,0.0194028,0.766498,0.146488,0.0356228
8,1,1,0.0014563,0.00184885,0.0830093,0.0139585,0.00316081
9,1,1,0.00245779,0.00307734,0.140094,0.0232334,0.00514458
10,1,1,0.00363129,0.00479403,0.206984,0.0361941,0.00858095
11,1,1,0.010516,0.0157144,0.599414,0.118641,0.0293693
12,1,1,0.00366206,0.00505876,0.208738,0.0381928,0.00934966
13,1,1,0.00644257,0.00785388,0.367226,0.0592955,0.0133135
14,1,1,0.00927503,0.0116512,0.528677,0.0879644,0.0211028
15,1,1,0.00784431,0.0114754,0.447126,0.0866376,0.0215974
17,1,1,0.00886192,0.0115224,0.505129,0.0869919,0.020459
18,1,1,0.0274727,0.035776,1.56594,0.270103,0.0638195
19,1,1,0.0138352,0.016767,0.788606,0.126588,0.0269146
20,1,1,0.00808187,0.0114552,0.460667,0.0864847,0.0204311
21,1,1,0.00470426,0.00683211,0.268143,0.0515813,0.0128005
22,1,1,0.00350331,0.00448352,0.199689,0.0338498,0.00780354
23,1,1,0.00525487,0.00759225,0.299527,0.0573202,0.0141145
24,1,1,0.00773319,0.00909579,0.440792,0.0686717,0.0145838
25,1,1,0.00688594,0.00925803,0.392499,0.0698966,0.0164463
26,1,1,0.0239223,0.0271338,1.36357,0.204856,0.0446198
27,1,1,0.00729683,0.010854,0.415919,0.081946,0.0202323
28,1,1,0.0176691,0.0258467,1.00714,0.195139,0.0492214
29,1,1,0.00339116,0.0041595,0.193296,0.0314036,0.0069003
30,1,1,0.00295415,0.00442451,0.168387,0.0334043,0.00850604
31,1,1,0.0117063,0.0147916,0.667261,0.111674,0.0264216
