Attack metrics report
Dataset: spambase
Attack: deepfool
alpha=0.005, maxiters=500

Correctly-classified originals: 2058/2301
Successfully attacked (among correct): 2058/2058
ASR (among correct): 1.0000

Changed samples among correct (any feature changed): 2058/2058
Max |delta| among correct: 0.223449

Changed samples among successful attacks: 2058/2058
Max |delta| among successful attacks: 0.223449

Summary of perturbation size (delta = X_adv - X_test) over correctly-classified originals
  MAE  : mean=0.0102056 median=0.00789513 min=0.000311123 max=0.106521
  RMSE : mean=0.01367 median=0.0107294 min=0.000472859 max=0.133514
  L1   : mean=0.581718 median=0.450022 min=0.017734 max=6.07169
  L2   : mean=0.103206 median=0.0810054 min=0.00357001 max=1.00801
  Linf : mean=0.0245019 median=0.0190094 min=0.00088995 max=0.223449

Original vs Perturbed (these can look very similar if delta is small)
Subset: correctly-classified originals
  MAE  : orig_mean=0.0158086 adv_mean=0.0216079 mean|diff|=0.00579928 max|diff|=0.0381979
  RMSE : orig_mean=0.0514402 adv_mean=0.0505443 mean|diff|=0.00215791 max|diff|=0.0290439
  L1   : orig_mean=0.901089 adv_mean=1.23165 mean|diff|=0.330559 max|diff|=2.17728
  L2   : orig_mean=0.388365 adv_mean=0.381601 mean|diff|=0.0162919 max|diff|=0.219276
  Linf : orig_mean=0.281171 adv_mean=0.2704 mean|diff|=0.014408 max|diff|=0.103539

Subset: successfully-attacked (among correct)
  MAE  : orig_mean=0.0158086 adv_mean=0.0216079 mean|diff|=0.00579928 max|diff|=0.0381979
  RMSE : orig_mean=0.0514402 adv_mean=0.0505443 mean|diff|=0.00215791 max|diff|=0.0290439
  L1   : orig_mean=0.901089 adv_mean=1.23165 mean|diff|=0.330559 max|diff|=2.17728
  L2   : orig_mean=0.388365 adv_mean=0.381601 mean|diff|=0.0162919 max|diff|=0.219276
  Linf : orig_mean=0.281171 adv_mean=0.2704 mean|diff|=0.014408 max|diff|=0.103539

Per-sample details (correctly-classified originals)
idx,attack_success,changed,mae_delta,rmse_delta,l1_delta,l2_delta,linf_delta
1,1,1,0.00598455,0.00718404,0.34112,0.0542383,0.0119885
3,1,1,0.0142254,0.0166226,0.810849,0.125498,0.0287934
4,1,1,0.0049288,0.00661323,0.280942,0.0499288,0.0117764
5,1,1,0.0142394,0.0195892,0.811648,0.147895,0.0342364
6,1,1,0.00499501,0.00755812,0.284716,0.0570626,0.0144276
7,1,1,0.0136502,0.0196956,0.778064,0.148699,0.0361671
8,1,1,0.00170526,0.00216468,0.0971996,0.016343,0.00371869
9,1,1,0.00262638,0.00329191,0.149704,0.0248533,0.00552829
10,1,1,0.0038505,0.00508969,0.219479,0.0384263,0.00911945
11,1,1,0.0106415,0.0159046,0.606567,0.120077,0.0297263
12,1,1,0.00366248,0.00505877,0.208761,0.0381928,0.00934968
13,1,1,0.00659288,0.00804946,0.375794,0.0607721,0.0136905
14,1,1,0.00924879,0.0116384,0.527181,0.0878676,0.0212836
15,1,1,0.00790905,0.0115715,0.450816,0.0873626,0.0217716
17,1,1,0.00907569,0.0118129,0.517315,0.0891856,0.0210193
18,1,1,0.0277118,0.0360902,1.57957,0.272475,0.0643892
19,1,1,0.0139211,0.0168726,0.793502,0.127385,0.0270928
20,1,1,0.0083734,0.0118684,0.477284,0.0896045,0.0211686
21,1,1,0.00470421,0.00683246,0.26814,0.0515839,0.0128015
22,1,1,0.00374538,0.00479811,0.213487,0.036225,0.00835111
23,1,1,0.00552599,0.00798964,0.314981,0.0603205,0.0148545
24,1,1,0.00771539,0.00908427,0.439777,0.0685848,0.0146585
25,1,1,0.00688569,0.00925851,0.392485,0.0699002,0.0164444
26,1,1,0.0242986,0.0275647,1.38502,0.208109,0.0454051
27,1,1,0.00742326,0.0110427,0.423126,0.0833707,0.0205817
28,1,1,0.017935,0.0262347,1.0223,0.198068,0.0499584
29,1,1,0.00365156,0.00447918,0.208139,0.0338171,0.00745262
30,1,1,0.00314261,0.00470692,0.179129,0.0355364,0.0090508
31,1,1,0.0117735,0.014888,0.671087,0.112402,0.0266612
