score_type,tier,attack_pct,k,n_targeted,n_attacked,restoration_rate,asr_after,asr_before
Score 1,structural,10,1,205,205,0.9853658536585366,0.014634146341463428,1.0
Score 1,structural,10,2,205,205,0.9707317073170731,0.029268292682926855,1.0
Score 1,structural,10,3,205,205,0.975609756097561,0.024390243902439046,1.0
Score 1,structural,10,5,205,205,0.9853658536585366,0.014634146341463428,1.0
Score 1,structural,10,10,205,205,0.975609756097561,0.024390243902439046,1.0
Score 1,structural,10,15,205,205,0.9853658536585366,0.014634146341463428,1.0
Score 1,structural,10,20,205,205,0.9853658536585366,0.014634146341463428,1.0
Score 1,structural,10,30,205,205,0.9609756097560975,0.039024390243902474,1.0
Score 1,structural,10,40,205,205,0.7902439024390244,0.20975609756097557,1.0
Score 1,structural,10,50,205,205,0.40487804878048783,0.5951219512195122,1.0
Score 1,structural,10,57,205,205,0.0,1.0,1.0
Score 1,noisy,10,1,205,205,0.5073170731707317,0.4926829268292683,1.0
Score 1,noisy,10,2,205,205,0.45365853658536587,0.5463414634146342,1.0
Score 1,noisy,10,3,205,205,0.47317073170731705,0.526829268292683,1.0
Score 1,noisy,10,5,205,205,0.5902439024390244,0.40975609756097564,1.0
Score 1,noisy,10,10,205,205,0.4878048780487805,0.5121951219512195,1.0
Score 1,noisy,10,15,205,205,0.5219512195121951,0.47804878048780486,1.0
Score 1,noisy,10,20,205,205,0.5073170731707317,0.4926829268292683,1.0
Score 1,noisy,10,30,205,205,0.6097560975609756,0.3902439024390244,1.0
Score 1,noisy,10,40,205,205,0.751219512195122,0.24878048780487805,1.0
Score 1,noisy,10,50,205,205,0.8146341463414634,0.18536585365853664,1.0
Score 1,noisy,10,57,205,205,0.0,1.0,1.0
Score 1,structural,20,1,411,411,0.9002433090024331,0.0997566909975669,1.0
Score 1,structural,20,2,411,411,0.8734793187347932,0.12652068126520677,1.0
Score 1,structural,20,3,411,411,0.8929440389294404,0.10705596107055959,1.0
Score 1,structural,20,5,411,411,0.9221411192214112,0.07785888077858882,1.0
Score 1,structural,20,10,411,411,0.9343065693430657,0.06569343065693434,1.0
Score 1,structural,20,15,411,411,0.9513381995133819,0.048661800486618056,1.0
Score 1,structural,20,20,411,411,0.9367396593673966,0.06326034063260344,1.0
Score 1,structural,20,30,411,411,0.9197080291970803,0.08029197080291972,1.0
Score 1,structural,20,40,411,411,0.7664233576642335,0.23357664233576647,1.0
Score 1,structural,20,50,411,411,0.45498783454987834,0.5450121654501217,1.0
Score 1,structural,20,57,411,411,0.0,1.0,1.0
Score 1,noisy,20,1,411,411,0.537712895377129,0.46228710462287104,1.0
Score 1,noisy,20,2,411,411,0.6009732360097324,0.3990267639902676,1.0
Score 1,noisy,20,3,411,411,0.6326034063260341,0.36739659367396593,1.0
Score 1,noisy,20,5,411,411,0.7177615571776156,0.2822384428223844,1.0
Score 1,noisy,20,10,411,411,0.6253041362530414,0.3746958637469586,1.0
Score 1,noisy,20,15,411,411,0.6690997566909975,0.3309002433090025,1.0
Score 1,noisy,20,20,411,411,0.6666666666666666,0.33333333333333337,1.0
Score 1,noisy,20,30,411,411,0.7274939172749392,0.2725060827250608,1.0
Score 1,noisy,20,40,411,411,0.7980535279805353,0.2019464720194647,1.0
Score 1,noisy,20,50,411,411,0.8442822384428224,0.15571776155717765,1.0
Score 1,noisy,20,57,411,411,0.0,1.0,1.0
Score 1,structural,30,1,617,617,0.8282009724473258,0.17179902755267418,1.0
Score 1,structural,30,2,617,617,0.8184764991896273,0.18152350081037272,1.0
Score 1,structural,30,3,617,617,0.8525121555915721,0.14748784440842788,1.0
Score 1,structural,30,5,617,617,0.8719611021069692,0.1280388978930308,1.0
Score 1,structural,30,10,617,617,0.8687196110210696,0.13128038897893035,1.0
Score 1,structural,30,15,617,617,0.9043760129659644,0.09562398703403563,1.0
Score 1,structural,30,20,617,617,0.8914100486223663,0.10858995137763372,1.0
Score 1,structural,30,30,617,617,0.8492706645056726,0.15072933549432743,1.0
Score 1,structural,30,40,617,617,0.7374392220421394,0.2625607779578606,1.0
Score 1,structural,30,50,617,617,0.45705024311183146,0.5429497568881685,1.0
Score 1,structural,30,57,617,617,0.0,1.0,1.0
Score 1,noisy,30,1,617,617,0.5623987034035657,0.4376012965964343,1.0
Score 1,noisy,30,2,617,617,0.6369529983792545,0.36304700162074555,1.0
Score 1,noisy,30,3,617,617,0.6628849270664505,0.3371150729335495,1.0
Score 1,noisy,30,5,617,617,0.7423014586709886,0.2576985413290114,1.0
Score 1,noisy,30,10,617,617,0.6645056726094003,0.3354943273905997,1.0
Score 1,noisy,30,15,617,617,0.7050243111831442,0.29497568881685576,1.0
Score 1,noisy,30,20,617,617,0.713128038897893,0.286871961102107,1.0
Score 1,noisy,30,30,617,617,0.7617504051863857,0.2382495948136143,1.0
Score 1,noisy,30,40,617,617,0.8055105348460292,0.1944894651539708,1.0
Score 1,noisy,30,50,617,617,0.8492706645056726,0.15072933549432743,1.0
Score 1,noisy,30,57,617,617,0.0,1.0,1.0
Score 1,structural,40,1,822,822,0.8126520681265207,0.1873479318734793,1.0
Score 1,structural,40,2,822,822,0.8041362530413625,0.1958637469586375,1.0
Score 1,structural,40,3,822,822,0.8357664233576643,0.16423357664233573,1.0
Score 1,structural,40,5,822,822,0.8454987834549879,0.15450121654501214,1.0
Score 1,structural,40,10,822,822,0.8357664233576643,0.16423357664233573,1.0
Score 1,structural,40,15,822,822,0.8819951338199513,0.11800486618004868,1.0
Score 1,structural,40,20,822,822,0.8759124087591241,0.12408759124087587,1.0
Score 1,structural,40,30,822,822,0.8479318734793188,0.15206812652068125,1.0
Score 1,structural,40,40,822,822,0.7530413625304136,0.24695863746958635,1.0
Score 1,structural,40,50,822,822,0.4683698296836983,0.5316301703163018,1.0
Score 1,structural,40,57,822,822,0.0,1.0,1.0
Score 1,noisy,40,1,822,822,0.5924574209245742,0.4075425790754258,1.0
Score 1,noisy,40,2,822,822,0.6618004866180048,0.33819951338199516,1.0
Score 1,noisy,40,3,822,822,0.6824817518248175,0.3175182481751825,1.0
Score 1,noisy,40,5,822,822,0.7530413625304136,0.24695863746958635,1.0
Score 1,noisy,40,10,822,822,0.6995133819951338,0.3004866180048662,1.0
