score_type,tier,attack_pct,k,n_targeted,n_attacked,restoration_rate,asr_after,asr_before
Score 1,structural,10,1,205,205,0.0,1.0,1.0
Score 1,structural,10,2,205,205,0.0,1.0,1.0
Score 1,structural,10,3,205,205,0.0,1.0,1.0
Score 1,structural,10,5,205,205,0.0,1.0,1.0
Score 1,structural,10,10,205,205,0.0,1.0,1.0
Score 1,structural,10,15,205,205,0.0,1.0,1.0
Score 1,structural,10,20,205,205,0.0,1.0,1.0
Score 1,structural,10,30,205,205,0.0,1.0,1.0
Score 1,structural,10,40,205,205,0.0,1.0,1.0
Score 1,structural,10,50,205,205,0.0,1.0,1.0
Score 1,structural,10,57,205,205,0.0,1.0,1.0
Score 1,noisy,10,1,205,189,0.13227513227513227,0.8677248677248677,0.9219512195121952
Score 1,noisy,10,2,205,189,0.12698412698412698,0.873015873015873,0.9219512195121952
Score 1,noisy,10,3,205,189,0.12169312169312169,0.8783068783068784,0.9219512195121952
Score 1,noisy,10,5,205,189,0.12698412698412698,0.873015873015873,0.9219512195121952
Score 1,noisy,10,10,205,189,0.1746031746031746,0.8253968253968254,0.9219512195121952
Score 1,noisy,10,15,205,189,0.1746031746031746,0.8253968253968254,0.9219512195121952
Score 1,noisy,10,20,205,189,0.1693121693121693,0.8306878306878307,0.9219512195121952
Score 1,noisy,10,30,205,189,0.15343915343915343,0.8465608465608465,0.9219512195121952
Score 1,noisy,10,40,205,189,0.10582010582010581,0.8941798941798942,0.9219512195121952
Score 1,noisy,10,50,205,189,0.037037037037037035,0.962962962962963,0.9219512195121952
Score 1,noisy,10,57,205,189,0.0,1.0,0.9219512195121952
Score 1,structural,20,1,411,411,0.0,1.0,1.0
Score 1,structural,20,2,411,411,0.0,1.0,1.0
Score 1,structural,20,3,411,411,0.0,1.0,1.0
Score 1,structural,20,5,411,411,0.0,1.0,1.0
Score 1,structural,20,10,411,411,0.0,1.0,1.0
Score 1,structural,20,15,411,411,0.0,1.0,1.0
Score 1,structural,20,20,411,411,0.0,1.0,1.0
Score 1,structural,20,30,411,411,0.0,1.0,1.0
Score 1,structural,20,40,411,411,0.0,1.0,1.0
Score 1,structural,20,50,411,411,0.0,1.0,1.0
Score 1,structural,20,57,411,411,0.0,1.0,1.0
Score 1,noisy,20,1,411,395,0.13670886075949368,0.8632911392405063,0.9610705596107056
Score 1,noisy,20,2,411,395,0.14177215189873418,0.8582278481012658,0.9610705596107056
Score 1,noisy,20,3,411,395,0.14177215189873418,0.8582278481012658,0.9610705596107056
Score 1,noisy,20,5,411,395,0.13924050632911392,0.8607594936708861,0.9610705596107056
Score 1,noisy,20,10,411,395,0.22531645569620254,0.7746835443037975,0.9610705596107056
Score 1,noisy,20,15,411,395,0.1291139240506329,0.8708860759493671,0.9610705596107056
Score 1,noisy,20,20,411,395,0.1189873417721519,0.8810126582278481,0.9610705596107056
Score 1,noisy,20,30,411,395,0.08860759493670886,0.9113924050632911,0.9610705596107056
Score 1,noisy,20,40,411,395,0.053164556962025315,0.9468354430379747,0.9610705596107056
Score 1,noisy,20,50,411,395,0.020253164556962026,0.979746835443038,0.9610705596107056
Score 1,noisy,20,57,411,395,0.0,1.0,0.9610705596107056
Score 1,structural,30,1,617,617,0.03727714748784441,0.9627228525121556,1.0
Score 1,structural,30,2,617,617,0.004862236628849271,0.9951377633711507,1.0
Score 1,structural,30,3,617,617,0.004862236628849271,0.9951377633711507,1.0
Score 1,structural,30,5,617,617,0.0032414910858995136,0.9967585089141004,1.0
Score 1,structural,30,10,617,617,0.0,1.0,1.0
Score 1,structural,30,15,617,617,0.0,1.0,1.0
Score 1,structural,30,20,617,617,0.0,1.0,1.0
Score 1,structural,30,30,617,617,0.0,1.0,1.0
Score 1,structural,30,40,617,617,0.0,1.0,1.0
Score 1,structural,30,50,617,617,0.0,1.0,1.0
Score 1,structural,30,57,617,617,0.0,1.0,1.0
Score 1,noisy,30,1,617,601,0.1896838602329451,0.8103161397670549,0.9740680713128039
Score 1,noisy,30,2,617,601,0.14309484193011648,0.8569051580698835,0.9740680713128039
Score 1,noisy,30,3,617,601,0.1480865224625624,0.8519134775374376,0.9740680713128039
Score 1,noisy,30,5,617,601,0.13976705490848584,0.8602329450915142,0.9740680713128039
Score 1,noisy,30,10,617,601,0.16139767054908485,0.8386023294509152,0.9740680713128039
Score 1,noisy,30,15,617,601,0.08818635607321132,0.9118136439267887,0.9740680713128039
Score 1,noisy,30,20,617,601,0.07986688851913477,0.9201331114808652,0.9740680713128039
Score 1,noisy,30,30,617,601,0.05823627287853577,0.9417637271214643,0.9740680713128039
Score 1,noisy,30,40,617,601,0.03494176372712146,0.9650582362728786,0.9740680713128039
Score 1,noisy,30,50,617,601,0.013311148086522463,0.9866888519134775,0.9740680713128039
Score 1,noisy,30,57,617,601,0.0,1.0,0.9740680713128039
Score 1,structural,40,1,822,822,0.10340632603406326,0.8965936739659367,1.0
Score 1,structural,40,2,822,822,0.0036496350364963502,0.9963503649635036,1.0
Score 1,structural,40,3,822,822,0.0036496350364963502,0.9963503649635036,1.0
Score 1,structural,40,5,822,822,0.0024330900243309003,0.9975669099756691,1.0
Score 1,structural,40,10,822,822,0.0,1.0,1.0
Score 1,structural,40,15,822,822,0.0,1.0,1.0
Score 1,structural,40,20,822,822,0.0,1.0,1.0
Score 1,structural,40,30,822,822,0.0,1.0,1.0
Score 1,structural,40,40,822,822,0.0,1.0,1.0
Score 1,structural,40,50,822,822,0.0,1.0,1.0
Score 1,structural,40,57,822,822,0.0,1.0,1.0
Score 1,noisy,40,1,822,806,0.2196029776674938,0.7803970223325062,0.9805352798053528
Score 1,noisy,40,2,822,806,0.12034739454094293,0.8796526054590571,0.9805352798053528
Score 1,noisy,40,3,822,806,0.12655086848635236,0.8734491315136477,0.9805352798053528
Score 1,noisy,40,5,822,806,0.11662531017369727,0.8833746898263027,0.9805352798053528
Score 1,noisy,40,10,822,806,0.12034739454094293,0.8796526054590571,0.9805352798053528
Score 1,noisy,40,15,822,806,0.06575682382133995,0.93424317617866,0.9805352798053528
Score 1,noisy,40,20,822,806,0.05955334987593052,0.9404466501240695,0.9805352798053528
Score 1,noisy,40,30,822,806,0.043424317617866005,0.956575682382134,0.9805352798053528
Score 1,noisy,40,40,822,806,0.026054590570719603,0.9739454094292804,0.9805352798053528
Score 1,noisy,40,50,822,806,0.009925558312655087,0.9900744416873449,0.9805352798053528
Score 1,noisy,40,57,822,806,0.0,1.0,0.9805352798053528
Score 1,structural,50,1,1028,1028,0.14299610894941633,0.8570038910505837,1.0
Score 1,structural,50,2,1028,1028,0.0029182879377431907,0.9970817120622568,1.0
Score 1,structural,50,3,1028,1028,0.0029182879377431907,0.9970817120622568,1.0
Score 1,structural,50,5,1028,1028,0.0019455252918287938,0.9980544747081712,1.0
Score 1,structural,50,10,1028,1028,0.0,1.0,1.0
Score 1,structural,50,15,1028,1028,0.0,1.0,1.0
Score 1,structural,50,20,1028,1028,0.0,1.0,1.0
