score_type,tier,regime,attack_pct,k,n_targeted,n_attacked,restoration_rate,asr_after
Score 1,structural,aggressive,10,1,205,205,0.0,1.0
Score 1,structural,aggressive,10,2,205,205,0.0,1.0
Score 1,structural,aggressive,10,3,205,205,0.0,1.0
Score 1,structural,aggressive,10,5,205,205,0.0,1.0
Score 1,structural,aggressive,10,10,205,205,0.0,1.0
Score 1,structural,aggressive,10,15,205,205,0.0,1.0
Score 1,structural,aggressive,10,20,205,205,0.0,1.0
Score 1,structural,aggressive,10,30,205,205,0.0,1.0
Score 1,structural,aggressive,10,40,205,205,0.0,1.0
Score 1,structural,aggressive,10,50,205,205,0.0,1.0
Score 1,structural,aggressive,10,57,205,205,0.0,1.0
Score 1,structural,stealthy,10,1,205,4,0.75,0.25
Score 1,structural,stealthy,10,2,205,4,0.25,0.75
Score 1,structural,stealthy,10,3,205,4,0.25,0.75
Score 1,structural,stealthy,10,5,205,4,0.25,0.75
Score 1,structural,stealthy,10,10,205,4,0.25,0.75
Score 1,structural,stealthy,10,15,205,4,0.25,0.75
Score 1,structural,stealthy,10,20,205,4,0.25,0.75
Score 1,structural,stealthy,10,30,205,4,0.25,0.75
Score 1,structural,stealthy,10,40,205,4,0.25,0.75
Score 1,structural,stealthy,10,50,205,4,0.25,0.75
Score 1,structural,stealthy,10,57,205,4,0.0,1.0
Score 1,noisy,aggressive,10,1,205,205,0.17560975609756097,0.8243902439024391
Score 1,noisy,aggressive,10,2,205,205,0.23902439024390243,0.7609756097560976
Score 1,noisy,aggressive,10,3,205,205,0.18048780487804877,0.8195121951219513
Score 1,noisy,aggressive,10,5,205,205,0.3073170731707317,0.6926829268292682
Score 1,noisy,aggressive,10,10,205,205,0.3121951219512195,0.6878048780487804
Score 1,noisy,aggressive,10,15,205,205,0.21951219512195122,0.7804878048780488
Score 1,noisy,aggressive,10,20,205,205,0.22439024390243903,0.775609756097561
Score 1,noisy,aggressive,10,30,205,205,0.18536585365853658,0.8146341463414635
Score 1,noisy,aggressive,10,40,205,205,0.04878048780487805,0.9512195121951219
Score 1,noisy,aggressive,10,50,205,205,0.014634146341463415,0.9853658536585366
Score 1,noisy,aggressive,10,57,205,205,0.0,1.0
Score 1,noisy,stealthy,10,1,205,30,0.23333333333333334,0.7666666666666666
Score 1,noisy,stealthy,10,2,205,30,0.3,0.7
Score 1,noisy,stealthy,10,3,205,30,0.23333333333333334,0.7666666666666666
Score 1,noisy,stealthy,10,5,205,30,0.23333333333333334,0.7666666666666666
Score 1,noisy,stealthy,10,10,205,30,0.3,0.7
Score 1,noisy,stealthy,10,15,205,30,0.23333333333333334,0.7666666666666666
Score 1,noisy,stealthy,10,20,205,30,0.3,0.7
Score 1,noisy,stealthy,10,30,205,30,0.3333333333333333,0.6666666666666667
Score 1,noisy,stealthy,10,40,205,30,0.5666666666666667,0.43333333333333335
Score 1,noisy,stealthy,10,50,205,30,0.23333333333333334,0.7666666666666666
Score 1,noisy,stealthy,10,57,205,30,0.0,1.0
Score 1,structural,aggressive,20,1,411,411,0.0024330900243309003,0.9975669099756691
Score 1,structural,aggressive,20,2,411,411,0.04866180048661801,0.9513381995133819
Score 1,structural,aggressive,20,3,411,411,0.046228710462287104,0.9537712895377128
Score 1,structural,aggressive,20,5,411,411,0.038929440389294405,0.9610705596107056
Score 1,structural,aggressive,20,10,411,411,0.0,1.0
Score 1,structural,aggressive,20,15,411,411,0.0,1.0
Score 1,structural,aggressive,20,20,411,411,0.0,1.0
Score 1,structural,aggressive,20,30,411,411,0.0,1.0
Score 1,structural,aggressive,20,40,411,411,0.0,1.0
Score 1,structural,aggressive,20,50,411,411,0.0,1.0
Score 1,structural,aggressive,20,57,411,411,0.0,1.0
Score 1,structural,stealthy,20,1,411,26,0.5,0.5
Score 1,structural,stealthy,20,2,411,26,0.2692307692307692,0.7307692307692308
Score 1,structural,stealthy,20,3,411,26,0.23076923076923078,0.7692307692307692
Score 1,structural,stealthy,20,5,411,26,0.34615384615384615,0.6538461538461539
Score 1,structural,stealthy,20,10,411,26,0.07692307692307693,0.9230769230769231
Score 1,structural,stealthy,20,15,411,26,0.19230769230769232,0.8076923076923077
Score 1,structural,stealthy,20,20,411,26,0.19230769230769232,0.8076923076923077
Score 1,structural,stealthy,20,30,411,26,0.19230769230769232,0.8076923076923077
Score 1,structural,stealthy,20,40,411,26,0.19230769230769232,0.8076923076923077
Score 1,structural,stealthy,20,50,411,26,0.19230769230769232,0.8076923076923077
Score 1,structural,stealthy,20,57,411,26,0.0,1.0
Score 1,noisy,aggressive,20,1,411,411,0.170316301703163,0.829683698296837
Score 1,noisy,aggressive,20,2,411,411,0.34793187347931875,0.6520681265206812
Score 1,noisy,aggressive,20,3,411,411,0.22141119221411193,0.778588807785888
