Attack metrics report
Dataset: spambase
Attack: pgd
epsilon=0.03

Correctly-classified originals: 2058/2301
Successfully attacked (among correct): 1741/2058
ASR (among correct): 0.8460

Changed samples among correct (any feature changed): 2058/2058
Max |delta| among correct: 0.03

Changed samples among successful attacks: 1741/1741
Max |delta| among successful attacks: 0.03

Summary of perturbation size (delta = X_adv - X_test) over correctly-classified originals
  MAE  : mean=0.0188774 median=0.018231 min=0.0147368 max=0.02654
  RMSE : mean=0.0235811 median=0.0232004 min=0.0210263 max=0.0279752
  L1   : mean=1.07601 median=1.03917 min=0.84 max=1.51278
  L2   : mean=0.178033 median=0.175159 min=0.158745 max=0.211208
  Linf : mean=0.03 median=0.03 min=0.03 max=0.03

Original vs Perturbed (these can look very similar if delta is small)
Subset: correctly-classified originals
  MAE  : orig_mean=0.0158086 adv_mean=0.0281666 mean|diff|=0.012358 max|diff|=0.0173684
  RMSE : orig_mean=0.0514402 adv_mean=0.0544731 mean|diff|=0.0059573 max|diff|=0.0224781
  L1   : orig_mean=0.901089 adv_mean=1.6055 mean|diff|=0.704408 max|diff|=0.99
  L2   : orig_mean=0.388365 adv_mean=0.411263 mean|diff|=0.0449766 max|diff|=0.169706
  Linf : orig_mean=0.281171 adv_mean=0.271784 mean|diff|=0.0277382 max|diff|=0.03

Subset: successfully-attacked (among correct)
  MAE  : orig_mean=0.0141578 adv_mean=0.0267301 mean|diff|=0.0125723 max|diff|=0.0173684
  RMSE : orig_mean=0.0438023 adv_mean=0.0479669 mean|diff|=0.0064519 max|diff|=0.0224781
  L1   : orig_mean=0.806995 adv_mean=1.52361 mean|diff|=0.716619 max|diff|=0.99
  L2   : orig_mean=0.3307 adv_mean=0.362142 mean|diff|=0.0487108 max|diff|=0.169706
  Linf : orig_mean=0.232899 adv_mean=0.226682 mean|diff|=0.027493 max|diff|=0.03

Per-sample details (correctly-classified originals)
idx,attack_success,changed,mae_delta,rmse_delta,l1_delta,l2_delta,linf_delta
1,1,1,0.0216138,0.024981,1.23199,0.188603,0.03
3,1,1,0.0240767,0.0263457,1.37237,0.198906,0.03
4,1,1,0.0179328,0.0229128,1.02217,0.172988,0.03
5,1,1,0.0177804,0.0230375,1.01348,0.173929,0.03
6,1,1,0.0168421,0.0224781,0.96,0.169706,0.03
7,1,1,0.0163158,0.0221241,0.93,0.167033,0.03
8,1,1,0.0197566,0.0240343,1.12612,0.181455,0.03
9,1,1,0.0201443,0.0243331,1.14823,0.183711,0.03
10,1,1,0.018547,0.0235185,1.05718,0.177561,0.03
11,1,1,0.0152632,0.0213985,0.87,0.161555,0.03
12,1,1,0.0185758,0.0235371,1.05882,0.177701,0.03
13,1,1,0.0209264,0.0248675,1.19281,0.187746,0.03
14,1,1,0.0212323,0.0249243,1.21024,0.188174,0.03
15,1,1,0.0173684,0.0228266,0.99,0.172337,0.03
17,1,1,0.0181867,0.0227797,1.03664,0.171983,0.03
18,0,1,0.0199255,0.0242939,1.13576,0.183415,0.03
19,1,1,0.0228094,0.0258433,1.30013,0.195113,0.03
20,1,1,0.0178947,0.0231699,1.02,0.174929,0.03
21,1,1,0.0161403,0.0219249,0.92,0.165529,0.03
22,1,1,0.0190472,0.0237232,1.08569,0.179106,0.03
23,1,1,0.0172294,0.0226078,0.982073,0.170685,0.03
24,1,1,0.024057,0.0265493,1.37125,0.200443,0.03
25,1,1,0.018854,0.023422,1.07468,0.176832,0.03
26,1,1,0.0263916,0.0279752,1.50432,0.211208,0.03
27,1,1,0.0168421,0.0224781,0.96,0.169706,0.03
28,0,1,0.0152632,0.0213985,0.87,0.161555,0.03
29,1,1,0.0206158,0.0246528,1.1751,0.186125,0.03
30,1,1,0.0163158,0.0221241,0.93,0.167033,0.03
31,1,1,0.0214168,0.0251808,1.22076,0.190111,0.03
33,1,1,0.0188271,0.0235366,1.07314,0.177698,0.03
35,1,1,0.0173684,0.0228266,0.99,0.172337,0.03
