Attack metrics report
Dataset: spambase
Attack: pgd
epsilon=0.1

Correctly-classified originals: 2058/2301
Successfully attacked (among correct): 2052/2058
ASR (among correct): 0.9971

Changed samples among correct (any feature changed): 2058/2058
Max |delta| among correct: 0.1

Changed samples among successful attacks: 2052/2052
Max |delta| among successful attacks: 0.1

Summary of perturbation size (delta = X_adv - X_test) over correctly-classified originals
  MAE  : mean=0.0618194 median=0.0601805 min=0.0526316 max=0.0819069
  RMSE : mean=0.0776552 median=0.0768488 min=0.0725476 max=0.0898409
  L1   : mean=3.52371 median=3.43029 min=3 max=4.66869
  L2   : mean=0.586284 median=0.580196 min=0.547723 max=0.678284
  Linf : mean=0.1 median=0.1 min=0.1 max=0.1

Original vs Perturbed (these can look very similar if delta is small)
Subset: correctly-classified originals
  MAE  : orig_mean=0.0158086 adv_mean=0.0636694 mean|diff|=0.0478608 max|diff|=0.0561404
  RMSE : orig_mean=0.0514402 adv_mean=0.0909126 mean|diff|=0.0396852 max|diff|=0.0749269
  L1   : orig_mean=0.901089 adv_mean=3.62916 mean|diff|=2.72807 max|diff|=3.2
  L2   : orig_mean=0.388365 adv_mean=0.686375 mean|diff|=0.299617 max|diff|=0.565685
  Linf : orig_mean=0.281171 adv_mean=0.29273 mean|diff|=0.0799777 max|diff|=0.1

Subset: successfully-attacked (among correct)
  MAE  : orig_mean=0.0155416 adv_mean=0.0634712 mean|diff|=0.0479297 max|diff|=0.0561404
  RMSE : orig_mean=0.0508393 adv_mean=0.0905117 mean|diff|=0.0397167 max|diff|=0.0749269
  L1   : orig_mean=0.88587 adv_mean=3.61786 mean|diff|=2.73199 max|diff|=3.2
  L2   : orig_mean=0.383829 adv_mean=0.683348 mean|diff|=0.299855 max|diff|=0.565685
  Linf : orig_mean=0.279463 adv_mean=0.291348 mean|diff|=0.0799191 max|diff|=0.1

Per-sample details (correctly-classified originals)
idx,attack_success,changed,mae_delta,rmse_delta,l1_delta,l2_delta,linf_delta
1,1,1,0.0658712,0.0792072,3.75466,0.598001,0.1
3,1,1,0.0738778,0.0839737,4.21103,0.633988,0.1
4,1,1,0.0572453,0.0750642,3.26298,0.566722,0.1
5,1,1,0.0639309,0.0795149,3.64406,0.600324,0.1
6,1,1,0.0561404,0.0749269,3.2,0.565685,0.1
7,1,1,0.0603863,0.0774331,3.44202,0.584607,0.1
8,1,1,0.0615515,0.0773967,3.50843,0.584332,0.1
9,1,1,0.0627419,0.0776849,3.57629,0.586508,0.1
10,1,1,0.060881,0.0776256,3.47022,0.586061,0.1
11,1,1,0.0578947,0.0760886,3.3,0.574456,0.1
12,1,1,0.0593417,0.0764109,3.38248,0.576889,0.1
13,1,1,0.0640194,0.0781759,3.64911,0.590215,0.1
14,1,1,0.0672452,0.0805761,3.83297,0.608336,0.1
15,1,1,0.0585949,0.076272,3.33991,0.575841,0.1
17,1,1,0.0585107,0.0752404,3.33511,0.568053,0.1
18,1,1,0.0663278,0.0804321,3.78069,0.607249,0.1
19,1,1,0.0685842,0.080233,3.9093,0.605746,0.1
20,1,1,0.0601978,0.0767768,3.43127,0.579652,0.1
21,1,1,0.0575778,0.0757087,3.28193,0.571588,0.1
22,1,1,0.0608344,0.0772418,3.46756,0.583163,0.1
23,1,1,0.058282,0.076127,3.32207,0.574746,0.1
24,1,1,0.0697029,0.080929,3.97307,0.611,0.1
25,1,1,0.0585876,0.0754028,3.33949,0.569279,0.1
26,1,1,0.0757372,0.0839503,4.31702,0.633811,0.1
27,1,1,0.0578947,0.0760886,3.3,0.574456,0.1
28,1,1,0.0550877,0.0739369,3.14,0.558211,0.1
29,1,1,0.0637508,0.0778394,3.63379,0.587674,0.1
30,1,1,0.0561404,0.0749269,3.2,0.565685,0.1
31,1,1,0.0666188,0.0802295,3.79727,0.605719,0.1
33,1,1,0.0595794,0.0758914,3.39603,0.572968,0.1
35,1,1,0.0587389,0.0763551,3.34812,0.576468,0.1
36,1,1,0.0777799,0.0862154,4.43345,0.650912,0.1
37,1,1,0.058178,0.0760984,3.31614,0.57453,0.1
38,1,1,0.0606847,0.0775327,3.45903,0.585359,0.1
39,1,1,0.0578947,0.0760886,3.3,0.574456,0.1
40,1,1,0.0575527,0.0756818,3.2805,0.571385,0.1
41,1,1,0.0597289,0.0768216,3.40455,0.57999,0.1
42,1,1,0.0675186,0.0804268,3.84856,0.607209,0.1
43,1,1,0.0575248,0.075249,3.27891,0.568117,0.1
44,1,1,0.0578947,0.0760886,3.3,0.574456,0.1
45,1,1,0.0704051,0.0821322,4.01309,0.620085,0.1
46,1,1,0.061298,0.0777391,3.49399,0.586917,0.1
47,1,1,0.0648263,0.0776544,3.6951,0.586278,0.1
48,1,1,0.0625193,0.0785925,3.5636,0.59336,0.1
49,1,1,0.0578947,0.0760886,3.3,0.574456,0.1
50,1,1,0.0578947,0.0760886,3.3,0.574456,0.1
51,1,1,0.0664469,0.080373,3.78747,0.606803,0.1
52,1,1,0.060364,0.0765977,3.44075,0.5783,0.1
53,1,1,0.0566018,0.0750078,3.2263,0.566297,0.1
54,1,1,0.0583117,0.0756759,3.32376,0.571341,0.1
55,1,1,0.0561404,0.0749269,3.2,0.565685,0.1
56,1,1,0.0594581,0.0758632,3.38911,0.572755,0.1
57,1,1,0.0634519,0.0790085,3.61676,0.596501,0.1
58,1,1,0.0569489,0.0751751,3.24609,0.56756,0.1
59,1,1,0.067049,0.0796409,3.82179,0.601276,0.1
60,1,1,0.0578947,0.0760886,3.3,0.574456,0.1
61,1,1,0.0663263,0.0804853,3.7806,0.60765,0.1
62,1,1,0.0604402,0.0773527,3.44509,0.584,0.1
63,1,1,0.0615241,0.0778639,3.50687,0.58786,0.1
