score_type,tier,attack_pct,k,n_targeted,n_attacked,restoration_rate,asr_after,asr_before
Score 1,structural,10,1,205,205,0.014634146341463415,0.9853658536585366,1.0
Score 1,structural,10,2,205,205,0.0,1.0,1.0
Score 1,structural,10,3,205,205,0.0,1.0,1.0
Score 1,structural,10,5,205,205,0.0,1.0,1.0
Score 1,structural,10,10,205,205,0.0,1.0,1.0
Score 1,structural,10,15,205,205,0.0,1.0,1.0
Score 1,structural,10,20,205,205,0.0,1.0,1.0
Score 1,structural,10,30,205,205,0.0,1.0,1.0
Score 1,structural,10,40,205,205,0.0,1.0,1.0
Score 1,structural,10,50,205,205,0.0,1.0,1.0
Score 1,structural,10,57,205,205,0.0,1.0,1.0
Score 1,noisy,10,1,205,205,0.33658536585365856,0.6634146341463414,1.0
Score 1,noisy,10,2,205,205,0.024390243902439025,0.975609756097561,1.0
Score 1,noisy,10,3,205,205,0.024390243902439025,0.975609756097561,1.0
Score 1,noisy,10,5,205,205,0.024390243902439025,0.975609756097561,1.0
Score 1,noisy,10,10,205,205,0.0,1.0,1.0
Score 1,noisy,10,15,205,205,0.0,1.0,1.0
Score 1,noisy,10,20,205,205,0.0,1.0,1.0
Score 1,noisy,10,30,205,205,0.0,1.0,1.0
Score 1,noisy,10,40,205,205,0.0,1.0,1.0
Score 1,noisy,10,50,205,205,0.0,1.0,1.0
Score 1,noisy,10,57,205,205,0.0,1.0,1.0
Score 1,structural,20,1,411,411,0.051094890510948905,0.948905109489051,1.0
Score 1,structural,20,2,411,411,0.0,1.0,1.0
Score 1,structural,20,3,411,411,0.0,1.0,1.0
Score 1,structural,20,5,411,411,0.0,1.0,1.0
Score 1,structural,20,10,411,411,0.0,1.0,1.0
Score 1,structural,20,15,411,411,0.0,1.0,1.0
Score 1,structural,20,20,411,411,0.0,1.0,1.0
Score 1,structural,20,30,411,411,0.0,1.0,1.0
Score 1,structural,20,40,411,411,0.0,1.0,1.0
Score 1,structural,20,50,411,411,0.0,1.0,1.0
Score 1,structural,20,57,411,411,0.0,1.0,1.0
Score 1,noisy,20,1,411,411,0.2822384428223844,0.7177615571776156,1.0
Score 1,noisy,20,2,411,411,0.012165450121654502,0.9878345498783455,1.0
Score 1,noisy,20,3,411,411,0.012165450121654502,0.9878345498783455,1.0
Score 1,noisy,20,5,411,411,0.012165450121654502,0.9878345498783455,1.0
Score 1,noisy,20,10,411,411,0.0,1.0,1.0
Score 1,noisy,20,15,411,411,0.0,1.0,1.0
Score 1,noisy,20,20,411,411,0.0,1.0,1.0
Score 1,noisy,20,30,411,411,0.0,1.0,1.0
Score 1,noisy,20,40,411,411,0.0,1.0,1.0
