Attack metrics report
Dataset: taiwan_bankruptcy
Attack: deepfool
alpha=0.001, maxiters=500

Correctly-classified originals: 2998/3410
Successfully attacked (among correct): 2959/2998
ASR (among correct): 0.9870

Changed samples among correct (any feature changed): 2998/2998
Max |delta| among correct: 0.14937

Changed samples among successful attacks: 2959/2959
Max |delta| among successful attacks: 0.147533

Summary of perturbation size (delta = X_adv - X_test) over correctly-classified originals
  MAE  : mean=0.00833154 median=0.00714608 min=5.37198e-05 max=0.0341335
  RMSE : mean=0.0123395 median=0.0105611 min=7.90695e-05 max=0.0484759
  L1   : mean=0.783165 median=0.671731 min=0.00504966 max=3.20855
  L2   : mean=0.119636 median=0.102393 min=0.000766607 max=0.469991
  Linf : mean=0.0449226 median=0.0384068 min=0.000280768 max=0.14937

Original vs Perturbed (these can look very similar if delta is small)
Subset: correctly-classified originals
  MAE  : orig_mean=0.326241 adv_mean=0.327226 mean|diff|=0.000985295 max|diff|=0.00999635
  RMSE : orig_mean=0.450105 adv_mean=0.449502 mean|diff|=0.000603589 max|diff|=0.00595042
  L1   : orig_mean=30.6666 adv_mean=30.7592 mean|diff|=0.0926177 max|diff|=0.939657
  L2   : orig_mean=4.36393 adv_mean=4.35808 mean|diff|=0.00585201 max|diff|=0.0576916
  Linf : orig_mean=0.999071 adv_mean=0.99982 mean|diff|=0.000966164 max|diff|=0.0303482

Subset: successfully-attacked (among correct)
  MAE  : orig_mean=0.325868 adv_mean=0.326829 mean|diff|=0.000961609 max|diff|=0.00999635
  RMSE : orig_mean=0.44968 adv_mean=0.44912 mean|diff|=0.00056042 max|diff|=0.00328708
  L1   : orig_mean=30.6316 adv_mean=30.722 mean|diff|=0.0903912 max|diff|=0.939657
  L2   : orig_mean=4.35981 adv_mean=4.35438 mean|diff|=0.00543348 max|diff|=0.0318694
  Linf : orig_mean=0.999066 adv_mean=0.999828 mean|diff|=0.000961433 max|diff|=0.0178899

Per-sample details (correctly-classified originals)
idx,attack_success,changed,mae_delta,rmse_delta,l1_delta,l2_delta,linf_delta
0,1,1,0.00596269,0.00878229,0.560493,0.0851475,0.0316744
1,1,1,0.0198397,0.0298009,1.86493,0.28893,0.10974
2,1,1,0.0142335,0.0208419,1.33795,0.202069,0.0759913
4,1,1,0.00328512,0.0049066,0.308801,0.0475713,0.0177353
5,1,1,0.00856642,0.0124944,0.805243,0.121137,0.0462971
6,1,1,0.0224601,0.0339043,2.11125,0.328715,0.126156
7,1,1,0.00522021,0.0077042,0.4907,0.074695,0.0281843
8,1,1,0.0022186,0.00326493,0.208549,0.0316547,0.0118715
9,1,1,0.00728764,0.0107205,0.685038,0.10394,0.0391342
10,1,1,0.000220867,0.000321169,0.0207615,0.00311385,0.00117275
11,1,1,0.00218962,0.00325287,0.205825,0.0315378,0.0117412
13,1,1,0.00437455,0.00644813,0.411208,0.062517,0.0231196
14,1,1,0.00933326,0.0138083,0.877327,0.133876,0.0503686
15,1,1,0.0148737,0.0222608,1.39812,0.215827,0.0795887
16,1,1,0.00981381,0.0146074,0.922499,0.141624,0.0531473
17,1,1,0.00198468,0.00295445,0.18656,0.0286444,0.0108283
19,1,1,0.0021934,0.00325674,0.20618,0.0315753,0.0118285
20,1,1,0.00746365,0.0110317,0.701584,0.106956,0.0402473
21,1,1,0.00270741,0.00397562,0.254496,0.0385451,0.0144774
22,1,1,0.00998779,0.0146973,0.938852,0.142495,0.0537701
24,1,1,0.00297363,0.00444047,0.279522,0.043052,0.0156087
25,1,1,0.00596625,0.0088106,0.560827,0.085422,0.0321399
26,1,1,0.0027261,0.00384125,0.256253,0.0372423,0.0115998
27,1,1,0.00754789,0.0109307,0.709502,0.105977,0.0401453
28,1,1,0.00342306,0.00505714,0.321768,0.0490308,0.0178494
29,1,1,0.0191131,0.028796,1.79663,0.279187,0.0995279
30,1,1,0.00304399,0.00449943,0.286135,0.0436236,0.0163837
31,1,1,0.00323821,0.0045205,0.304392,0.0438279,0.0134657
34,1,1,0.0095631,0.0143804,0.898931,0.139424,0.0525542
35,1,1,0.00793885,0.0117973,0.746252,0.114379,0.0426693
36,1,1,0.0033368,0.00491753,0.313659,0.0476772,0.0181692
37,1,1,0.0143021,0.021016,1.3444,0.203758,0.0779545
38,1,1,0.0069815,0.0103176,0.656261,0.100033,0.0376413
39,1,1,0.00740848,0.0108599,0.696397,0.10529,0.0402068
40,1,1,0.00766973,0.010718,0.720954,0.103915,0.0319424
42,1,1,0.00324224,0.00483209,0.30477,0.0468488,0.0175672
43,1,1,0.0044656,0.00649106,0.419766,0.0629331,0.0239459
44,1,1,0.0195109,0.0293778,1.83402,0.284829,0.107362
45,1,1,0.00530836,0.00802109,0.498986,0.0777673,0.0291948
46,1,1,0.000805539,0.00120098,0.0757207,0.011644,0.00433586
47,1,1,0.00226962,0.00333559,0.213345,0.0323397,0.012289
