Attack metrics report
Dataset: taiwan_bankruptcy
Attack: deepfool
alpha=0.05, maxiters=500

Correctly-classified originals: 2998/3410
Successfully attacked (among correct): 2998/2998
ASR (among correct): 1.0000

Changed samples among correct (any feature changed): 2998/2998
Max |delta| among correct: 0.256399

Changed samples among successful attacks: 2998/2998
Max |delta| among successful attacks: 0.256399

Summary of perturbation size (delta = X_adv - X_test) over correctly-classified originals
  MAE  : mean=0.0097421 median=0.00807963 min=0.00260483 max=0.0467107
  RMSE : mean=0.0144448 median=0.0119007 min=0.00392175 max=0.071829
  L1   : mean=0.915757 median=0.759485 min=0.244854 max=4.39081
  L2   : mean=0.140048 median=0.115381 min=0.0380228 max=0.696408
  Linf : mean=0.0526092 median=0.0436454 min=0.0136298 max=0.256399

Original vs Perturbed (these can look very similar if delta is small)
Subset: correctly-classified originals
  MAE  : orig_mean=0.326241 adv_mean=0.327411 mean|diff|=0.00117013 max|diff|=0.0101563
  RMSE : orig_mean=0.450105 adv_mean=0.449441 mean|diff|=0.000665874 max|diff|=0.0077486
  L1   : orig_mean=30.6666 adv_mean=30.7766 mean|diff|=0.109992 max|diff|=0.954695
  L2   : orig_mean=4.36393 adv_mean=4.35749 mean|diff|=0.00645589 max|diff|=0.0751257
  Linf : orig_mean=0.999071 adv_mean=0.999813 mean|diff|=0.0010306 max|diff|=0.0331264

Subset: successfully-attacked (among correct)
  MAE  : orig_mean=0.326241 adv_mean=0.327411 mean|diff|=0.00117013 max|diff|=0.0101563
  RMSE : orig_mean=0.450105 adv_mean=0.449441 mean|diff|=0.000665874 max|diff|=0.0077486
  L1   : orig_mean=30.6666 adv_mean=30.7766 mean|diff|=0.109992 max|diff|=0.954695
  L2   : orig_mean=4.36393 adv_mean=4.35749 mean|diff|=0.00645589 max|diff|=0.0751257
  Linf : orig_mean=0.999071 adv_mean=0.999813 mean|diff|=0.0010306 max|diff|=0.0331264

Per-sample details (correctly-classified originals)
idx,attack_success,changed,mae_delta,rmse_delta,l1_delta,l2_delta,linf_delta
0,1,1,0.00796108,0.0117533,0.748341,0.113953,0.042421
1,1,1,0.0208413,0.0313415,1.95908,0.303867,0.115475
2,1,1,0.0159727,0.0234622,1.50144,0.227474,0.0856791
4,1,1,0.00528714,0.00791596,0.496992,0.0767481,0.0287087
5,1,1,0.0108182,0.0158079,1.01691,0.153263,0.0586396
6,1,1,0.0231461,0.0350004,2.17574,0.339342,0.130107
7,1,1,0.00538054,0.00794231,0.505771,0.0770035,0.0290592
8,1,1,0.00269749,0.00397661,0.253564,0.0385547,0.0144775
9,1,1,0.00808765,0.0119086,0.760239,0.115459,0.043508
10,1,1,0.00271925,0.00398614,0.255609,0.0386471,0.0146593
11,1,1,0.0026622,0.00396254,0.250247,0.0384182,0.0143185
13,1,1,0.00532005,0.0078591,0.500085,0.0761968,0.02815
14,1,1,0.010712,0.0158678,1.00692,0.153844,0.0578664
15,1,1,0.0156218,0.0233946,1.46845,0.226819,0.0836969
16,1,1,0.0106198,0.0158031,0.998261,0.153217,0.0576206
17,1,1,0.00266989,0.00398549,0.25097,0.0386408,0.0146328
19,1,1,0.00266728,0.00396767,0.250724,0.038468,0.014425
20,1,1,0.00805151,0.0119043,0.756841,0.115416,0.0434324
21,1,1,0.00270741,0.00397562,0.254496,0.0385451,0.0144775
22,1,1,0.0107729,0.015882,1.01266,0.153982,0.0581014
24,1,1,0.00529091,0.00790433,0.497346,0.0766353,0.0278807
25,1,1,0.00805045,0.011904,0.756742,0.115414,0.0434324
26,1,1,0.0034856,0.00490981,0.327646,0.0476024,0.0149183
27,1,1,0.00813701,0.0117947,0.764879,0.114354,0.0434217
28,1,1,0.00532871,0.0078957,0.500898,0.0765516,0.0278897
29,1,1,0.0192774,0.0290452,1.81207,0.281603,0.100307
30,1,1,0.00530543,0.00788694,0.49871,0.0764667,0.0287523
31,1,1,0.00351218,0.00490143,0.330145,0.0475212,0.0147434
34,1,1,0.0104867,0.0157811,0.985753,0.153003,0.0576902
