score_type,tier,attack_pct,k,n_targeted,n_attacked,restoration_rate,asr_after,asr_before
Score 1,structural,10,1,203,203,0.9507389162561576,0.049261083743842415,1.0
Score 1,structural,10,2,203,203,0.9507389162561576,0.049261083743842415,1.0
Score 1,structural,10,3,203,203,0.9507389162561576,0.049261083743842415,1.0
Score 1,structural,10,5,203,203,0.9507389162561576,0.049261083743842415,1.0
Score 1,structural,10,10,203,203,0.9310344827586207,0.06896551724137934,1.0
Score 1,structural,10,15,203,203,0.916256157635468,0.08374384236453203,1.0
Score 1,structural,10,20,203,203,0.896551724137931,0.10344827586206895,1.0
Score 1,structural,10,30,203,203,0.8768472906403941,0.12315270935960587,1.0
Score 1,structural,10,40,203,203,0.7881773399014779,0.21182266009852213,1.0
Score 1,structural,10,50,203,203,0.5862068965517241,0.4137931034482759,1.0
Score 1,structural,10,57,203,203,0.5320197044334976,0.46798029556650245,1.0
Score 1,noisy,10,1,203,203,0.9753694581280788,0.024630541871921152,1.0
Score 1,noisy,10,2,203,203,0.9753694581280788,0.024630541871921152,1.0
Score 1,noisy,10,3,203,203,0.9753694581280788,0.024630541871921152,1.0
Score 1,noisy,10,5,203,203,0.9753694581280788,0.024630541871921152,1.0
Score 1,noisy,10,10,203,203,0.9556650246305419,0.044334975369458074,1.0
Score 1,noisy,10,15,203,203,0.9753694581280788,0.024630541871921152,1.0
Score 1,noisy,10,20,203,203,0.9458128078817734,0.054187192118226646,1.0
Score 1,noisy,10,30,203,203,0.9014778325123153,0.09852216748768472,1.0
Score 1,noisy,10,40,203,203,0.7980295566502463,0.20197044334975367,1.0
Score 1,noisy,10,50,203,203,0.645320197044335,0.35467980295566504,1.0
Score 1,noisy,10,57,203,203,0.5911330049261084,0.40886699507389157,1.0
Score 1,structural,20,1,406,406,0.9630541871921182,0.036945812807881784,1.0
Score 1,structural,20,2,406,406,0.9630541871921182,0.036945812807881784,1.0
Score 1,structural,20,3,406,406,0.9630541871921182,0.036945812807881784,1.0
Score 1,structural,20,5,406,406,0.9630541871921182,0.036945812807881784,1.0
Score 1,structural,20,10,406,406,0.9384236453201971,0.061576354679802936,1.0
Score 1,structural,20,15,406,406,0.9359605911330049,0.0640394088669951,1.0
Score 1,structural,20,20,406,406,0.9310344827586207,0.06896551724137934,1.0
Score 1,structural,20,30,406,406,0.9014778325123153,0.09852216748768472,1.0
Score 1,structural,20,40,406,406,0.8275862068965517,0.1724137931034483,1.0
Score 1,structural,20,50,406,406,0.6009852216748769,0.3990147783251231,1.0
