Attack metrics report
Dataset: taiwan_bankruptcy
Attack: fgsm
epsilon=0.3

Correctly-classified originals: 2998/3410
Successfully attacked (among correct): 2998/2998
ASR (among correct): 1.0000

Changed samples among correct (any feature changed): 2998/2998
Max |delta| among correct: 0.3

Changed samples among successful attacks: 2998/2998
Max |delta| among successful attacks: 0.3

Summary of perturbation size (delta = X_adv - X_test) over correctly-classified originals
  MAE  : mean=0.221365 median=0.220924 min=0.201842 max=0.260895
  RMSE : mean=0.251375 median=0.251133 min=0.238583 max=0.275044
  L1   : mean=20.8083 median=20.7668 min=18.9732 max=24.5241
  L2   : mean=2.43717 median=2.43482 min=2.31315 max=2.66665
  Linf : mean=0.3 median=0.3 min=0.3 max=0.3

Original vs Perturbed (these can look very similar if delta is small)
Subset: correctly-classified originals
  MAE  : orig_mean=0.326241 adv_mean=0.391675 mean|diff|=0.0654339 max|diff|=0.0901743
  RMSE : orig_mean=0.450105 adv_mean=0.526272 mean|diff|=0.0761955 max|diff|=0.102634
  L1   : orig_mean=30.6666 adv_mean=36.8174 mean|diff|=6.15079 max|diff|=8.47639
  L2   : orig_mean=4.36393 adv_mean=5.1024 mean|diff|=0.738742 max|diff|=0.995071
  Linf : orig_mean=0.999071 adv_mean=1 mean|diff|=0.000929014 max|diff|=0.00943255

Subset: successfully-attacked (among correct)
  MAE  : orig_mean=0.326241 adv_mean=0.391675 mean|diff|=0.0654339 max|diff|=0.0901743
  RMSE : orig_mean=0.450105 adv_mean=0.526272 mean|diff|=0.0761955 max|diff|=0.102634
  L1   : orig_mean=30.6666 adv_mean=36.8174 mean|diff|=6.15079 max|diff|=8.47639
  L2   : orig_mean=4.36393 adv_mean=5.1024 mean|diff|=0.738742 max|diff|=0.995071
  Linf : orig_mean=0.999071 adv_mean=1 mean|diff|=0.000929014 max|diff|=0.00943255

Per-sample details (correctly-classified originals)
idx,attack_success,changed,mae_delta,rmse_delta,l1_delta,l2_delta,linf_delta
0,1,1,0.22359,0.25175,21.0175,2.44081,0.3
1,1,1,0.221379,0.252245,20.8096,2.44561,0.3
2,1,1,0.222996,0.252112,20.9616,2.44431,0.3
4,1,1,0.209717,0.243869,19.7134,2.36439,0.3
5,1,1,0.223931,0.253257,21.0495,2.45542,0.3
6,1,1,0.219065,0.250878,20.5921,2.43236,0.3
7,1,1,0.220887,0.251193,20.7633,2.43541,0.3
8,1,1,0.21041,0.24415,19.7785,2.36712,0.3
9,1,1,0.221463,0.250706,20.8175,2.43068,0.3
10,1,1,0.221792,0.25228,20.8484,2.44594,0.3
11,1,1,0.223104,0.252915,20.9718,2.4521,0.3
13,1,1,0.2305,0.256796,21.667,2.48973,0.3
14,1,1,0.220137,0.250566,20.6929,2.42933,0.3
15,1,1,0.227379,0.25637,21.3736,2.48559,0.3
16,1,1,0.222258,0.250411,20.8922,2.42783,0.3
17,1,1,0.218314,0.249417,20.5215,2.41819,0.3
19,1,1,0.222453,0.252774,20.9106,2.45073,0.3
20,1,1,0.218124,0.249441,20.5036,2.41842,0.3
21,1,1,0.218547,0.249723,20.5434,2.42115,0.3
22,1,1,0.222539,0.25216,20.9187,2.44478,0.3
24,1,1,0.21007,0.245052,19.7466,2.37587,0.3
25,1,1,0.221348,0.251715,20.8067,2.44047,0.3
26,1,1,0.236949,0.260162,22.2732,2.52236,0.3
27,1,1,0.221968,0.251785,20.865,2.44115,0.3
28,1,1,0.219283,0.249547,20.6126,2.41945,0.3
29,1,1,0.221898,0.250442,20.8584,2.42813,0.3
30,1,1,0.222058,0.251339,20.8734,2.43683,0.3
31,1,1,0.231856,0.258448,21.7944,2.50574,0.3
34,1,1,0.21905,0.250275,20.5907,2.42651,0.3
35,1,1,0.225152,0.253517,21.1643,2.45794,0.3
36,1,1,0.216669,0.248823,20.3669,2.41243,0.3
37,1,1,0.221576,0.251695,20.8282,2.44027,0.3
38,1,1,0.221374,0.251563,20.8091,2.439,0.3
39,1,1,0.224274,0.252714,21.0818,2.45016,0.3
40,1,1,0.227372,0.256101,21.373,2.48299,0.3
42,1,1,0.214291,0.246785,20.1434,2.39267,0.3
43,1,1,0.223741,0.253108,21.0317,2.45397,0.3
44,1,1,0.217375,0.249019,20.4332,2.41433,0.3
45,1,1,0.220829,0.250569,20.7579,2.42935,0.3
46,1,1,0.217558,0.248793,20.4504,2.41214,0.3
47,1,1,0.217992,0.249196,20.4912,2.41605,0.3
50,1,1,0.222039,0.25141,20.8717,2.43751,0.3
51,1,1,0.22074,0.251466,20.7495,2.43805,0.3
52,1,1,0.21964,0.249559,20.6462,2.41956,0.3
53,1,1,0.241503,0.263561,22.7013,2.55532,0.3
54,1,1,0.221248,0.252313,20.7974,2.44626,0.3
55,1,1,0.220614,0.250364,20.7377,2.42737,0.3
56,1,1,0.218184,0.250005,20.5092,2.42389,0.3
57,1,1,0.218936,0.24915,20.58,2.4156,0.3
58,1,1,0.244164,0.265557,22.9514,2.57467,0.3
59,1,1,0.217813,0.249049,20.4744,2.41462,0.3
60,1,1,0.221196,0.251323,20.7924,2.43666,0.3
61,1,1,0.220265,0.251207,20.7049,2.43554,0.3
62,1,1,0.223223,0.252363,20.983,2.44675,0.3
63,1,1,0.228025,0.25594,21.4343,2.48143,0.3
64,1,1,0.227171,0.2551,21.3541,2.47329,0.3
66,1,1,0.22041,0.250844,20.7185,2.43202,0.3
67,1,1,0.226658,0.254025,21.3058,2.46287,0.3
68,1,1,0.214419,0.247099,20.1554,2.39571,0.3
69,1,1,0.225049,0.25303,21.1546,2.45322,0.3
70,1,1,0.217457,0.248257,20.4409,2.40694,0.3
71,1,1,0.223898,0.252237,21.0464,2.44552,0.3
72,1,1,0.219792,0.249633,20.6605,2.42028,0.3
73,1,1,0.226797,0.253993,21.3189,2.46255,0.3
74,1,1,0.22182,0.250966,20.851,2.43321,0.3
75,1,1,0.260895,0.275044,24.5241,2.66665,0.3
76,1,1,0.216689,0.248857,20.3687,2.41276,0.3
77,1,1,0.226298,0.254851,21.272,2.47088,0.3
78,1,1,0.217251,0.248463,20.4216,2.40894,0.3
79,1,1,0.211343,0.245375,19.8663,2.379,0.3
80,1,1,0.223459,0.252817,21.0052,2.45115,0.3
81,1,1,0.223972,0.25293,21.0534,2.45224,0.3
82,1,1,0.219388,0.249845,20.6225,2.42234,0.3
83,1,1,0.22246,0.252489,20.9113,2.44797,0.3
84,1,1,0.219853,0.250237,20.6662,2.42614,0.3
85,1,1,0.218522,0.249698,20.5411,2.42091,0.3
86,1,1,0.221093,0.250593,20.7827,2.42959,0.3
87,1,1,0.219162,0.251766,20.6012,2.44096,0.3
88,1,1,0.222152,0.251623,20.8823,2.43958,0.3
89,1,1,0.224016,0.253202,21.0575,2.45488,0.3
90,1,1,0.222727,0.251866,20.9363,2.44193,0.3
91,1,1,0.226785,0.25469,21.3178,2.46931,0.3
92,1,1,0.219319,0.25023,20.6159,2.42607,0.3
94,1,1,0.223935,0.252934,21.0499,2.45229,0.3
95,1,1,0.225379,0.253543,21.1856,2.45819,0.3
96,1,1,0.220788,0.250437,20.7541,2.42808,0.3
97,1,1,0.221463,0.252939,20.8175,2.45233,0.3
98,1,1,0.221622,0.250828,20.8324,2.43187,0.3
99,1,1,0.227152,0.254199,21.3522,2.46455,0.3
100,1,1,0.216391,0.248635,20.3407,2.41061,0.3
102,1,1,0.219626,0.250086,20.6448,2.42467,0.3
103,1,1,0.220629,0.251052,20.7391,2.43404,0.3
104,1,1,0.21537,0.24777,20.2447,2.40221,0.3
105,1,1,0.222789,0.251627,20.9422,2.43961,0.3
106,1,1,0.224281,0.253534,21.0824,2.4581,0.3
107,1,1,0.217661,0.249006,20.4602,2.4142,0.3
108,1,1,0.219856,0.252349,20.6664,2.44662,0.3
109,1,1,0.206145,0.241638,19.3776,2.34277,0.3
110,1,1,0.226815,0.253657,21.3206,2.4593,0.3
111,1,1,0.227447,0.255729,21.3801,2.47938,0.3
112,1,1,0.221288,0.252101,20.8011,2.44421,0.3
113,1,1,0.209727,0.244349,19.7144,2.36905,0.3
114,1,1,0.22497,0.25374,21.1471,2.4601,0.3
115,1,1,0.228092,0.255503,21.4407,2.4772,0.3
116,1,1,0.217194,0.248468,20.4163,2.40899,0.3
117,1,1,0.219281,0.252673,20.6124,2.44975,0.3
119,1,1,0.223559,0.252538,21.0145,2.44844,0.3
120,1,1,0.226415,0.253789,21.2831,2.46057,0.3
121,1,1,0.220625,0.251374,20.7387,2.43717,0.3
122,1,1,0.219656,0.250333,20.6477,2.42707,0.3
123,1,1,0.220254,0.250259,20.7038,2.42635,0.3
124,1,1,0.226302,0.25483,21.2724,2.47067,0.3
125,1,1,0.224818,0.253618,21.1329,2.45892,0.3
126,1,1,0.222858,0.25189,20.9487,2.44217,0.3
127,1,1,0.217027,0.248458,20.4006,2.40889,0.3
128,1,1,0.217477,0.24866,20.4428,2.41085,0.3
129,1,1,0.220228,0.251381,20.7014,2.43723,0.3
130,1,1,0.218362,0.249628,20.5261,2.42024,0.3
131,1,1,0.219394,0.250105,20.623,2.42486,0.3
132,1,1,0.227753,0.254969,21.4088,2.47201,0.3
133,1,1,0.238446,0.262291,22.4139,2.543,0.3
134,1,1,0.218684,0.249264,20.5563,2.4167,0.3
135,1,1,0.223759,0.252733,21.0333,2.45033,0.3
136,1,1,0.250043,0.268642,23.504,2.60458,0.3
137,1,1,0.224136,0.253309,21.0688,2.45592,0.3
139,1,1,0.221963,0.25183,20.8646,2.44159,0.3
140,1,1,0.221138,0.251014,20.787,2.43367,0.3
141,1,1,0.220453,0.251431,20.7225,2.43771,0.3
