score_type,tier,regime,attack_pct,k,n_targeted,n_attacked,restoration_rate,asr_after
Score 1,structural,aggressive,10,1,299,299,0.9364548494983278,0.0635451505016722
Score 1,structural,aggressive,10,2,299,299,0.9364548494983278,0.0635451505016722
Score 1,structural,aggressive,10,3,299,299,0.9364548494983278,0.0635451505016722
Score 1,structural,aggressive,10,5,299,299,0.9364548494983278,0.0635451505016722
Score 1,structural,aggressive,10,10,299,299,0.9331103678929766,0.06688963210702337
Score 1,structural,aggressive,10,15,299,299,0.006688963210702341,0.9933110367892977
Score 1,structural,aggressive,10,20,299,299,0.006688963210702341,0.9933110367892977
Score 1,structural,aggressive,10,30,299,299,0.0,1.0
Score 1,structural,aggressive,10,40,299,299,0.0,1.0
Score 1,structural,aggressive,10,50,299,299,0.0,1.0
Score 1,structural,aggressive,10,57,299,299,0.0,1.0
Score 1,structural,stealthy,10,1,299,299,0.9364548494983278,0.0635451505016722
Score 1,structural,stealthy,10,2,299,299,0.9364548494983278,0.0635451505016722
Score 1,structural,stealthy,10,3,299,299,0.9364548494983278,0.0635451505016722
Score 1,structural,stealthy,10,5,299,299,0.9364548494983278,0.0635451505016722
Score 1,structural,stealthy,10,10,299,299,0.9364548494983278,0.0635451505016722
Score 1,structural,stealthy,10,15,299,299,0.6220735785953178,0.37792642140468224
Score 1,structural,stealthy,10,20,299,299,0.6120401337792643,0.38795986622073575
Score 1,structural,stealthy,10,30,299,299,0.4682274247491639,0.5317725752508361
Score 1,structural,stealthy,10,40,299,299,0.43478260869565216,0.5652173913043479
Score 1,structural,stealthy,10,50,299,299,0.2976588628762542,0.7023411371237458
Score 1,structural,stealthy,10,57,299,299,0.12374581939799331,0.8762541806020067
Score 1,noisy,aggressive,10,1,299,299,0.9464882943143813,0.05351170568561869
Score 1,noisy,aggressive,10,2,299,299,0.9464882943143813,0.05351170568561869
Score 1,noisy,aggressive,10,3,299,299,0.9464882943143813,0.05351170568561869
Score 1,noisy,aggressive,10,5,299,299,0.9464882943143813,0.05351170568561869
Score 1,noisy,aggressive,10,10,299,299,0.8896321070234113,0.11036789297658867
Score 1,noisy,aggressive,10,15,299,299,0.06688963210702341,0.9331103678929766
Score 1,noisy,aggressive,10,20,299,299,0.06688963210702341,0.9331103678929766
Score 1,noisy,aggressive,10,30,299,299,0.033444816053511704,0.9665551839464883
Score 1,noisy,aggressive,10,40,299,299,0.013377926421404682,0.9866220735785953
Score 1,noisy,aggressive,10,50,299,299,0.006688963210702341,0.9933110367892977
Score 1,noisy,aggressive,10,57,299,299,0.006688963210702341,0.9933110367892977
Score 1,noisy,stealthy,10,1,299,195,0.9179487179487179,0.08205128205128209
Score 1,noisy,stealthy,10,2,299,195,0.9179487179487179,0.08205128205128209
Score 1,noisy,stealthy,10,3,299,195,0.9179487179487179,0.08205128205128209
Score 1,noisy,stealthy,10,5,299,195,0.9179487179487179,0.08205128205128209
Score 1,noisy,stealthy,10,10,299,195,0.8974358974358975,0.10256410256410253
Score 1,noisy,stealthy,10,15,299,195,0.6307692307692307,0.36923076923076925
Score 1,noisy,stealthy,10,20,299,195,0.6512820512820513,0.3487179487179487
Score 1,noisy,stealthy,10,30,299,195,0.5384615384615384,0.46153846153846156
Score 1,noisy,stealthy,10,40,299,195,0.46153846153846156,0.5384615384615384
Score 1,noisy,stealthy,10,50,299,195,0.4358974358974359,0.5641025641025641
Score 1,noisy,stealthy,10,57,299,195,0.3435897435897436,0.6564102564102564
Score 1,structural,aggressive,20,1,599,599,0.9549248747913188,0.04507512520868118
Score 1,structural,aggressive,20,2,599,599,0.9549248747913188,0.04507512520868118
Score 1,structural,aggressive,20,3,599,599,0.9549248747913188,0.04507512520868118
Score 1,structural,aggressive,20,5,599,599,0.9549248747913188,0.04507512520868118
Score 1,structural,aggressive,20,10,599,599,0.9515859766277128,0.048414023372287174
Score 1,structural,aggressive,20,15,599,599,0.00333889816360601,0.996661101836394
Score 1,structural,aggressive,20,20,599,599,0.00333889816360601,0.996661101836394
Score 1,structural,aggressive,20,30,599,599,0.0,1.0
Score 1,structural,aggressive,20,40,599,599,0.0,1.0
Score 1,structural,aggressive,20,50,599,599,0.0,1.0
Score 1,structural,aggressive,20,57,599,599,0.0,1.0
Score 1,structural,stealthy,20,1,599,597,0.9547738693467337,0.045226130653266305
Score 1,structural,stealthy,20,2,599,597,0.9547738693467337,0.045226130653266305
Score 1,structural,stealthy,20,3,599,597,0.9547738693467337,0.045226130653266305
Score 1,structural,stealthy,20,5,599,597,0.9547738693467337,0.045226130653266305
Score 1,structural,stealthy,20,10,599,597,0.9547738693467337,0.045226130653266305
Score 1,structural,stealthy,20,15,599,597,0.6750418760469011,0.32495812395309887
Score 1,structural,stealthy,20,20,599,597,0.6683417085427136,0.3316582914572864
Score 1,structural,stealthy,20,30,599,597,0.5561139028475712,0.44388609715242877
Score 1,structural,stealthy,20,40,599,597,0.5125628140703518,0.48743718592964824
Score 1,structural,stealthy,20,50,599,597,0.38190954773869346,0.6180904522613065
Score 1,structural,stealthy,20,57,599,597,0.22780569514237856,0.7721943048576214
Score 1,noisy,aggressive,20,1,599,599,0.9666110183639399,0.03338898163606008
Score 1,noisy,aggressive,20,2,599,599,0.9666110183639399,0.03338898163606008
Score 1,noisy,aggressive,20,3,599,599,0.9666110183639399,0.03338898163606008
Score 1,noisy,aggressive,20,5,599,599,0.9649415692821369,0.035058430717863076
Score 1,noisy,aggressive,20,10,599,599,0.8931552587646077,0.10684474123539234
Score 1,noisy,aggressive,20,15,599,599,0.0333889816360601,0.9666110183639399
Score 1,noisy,aggressive,20,20,599,599,0.0333889816360601,0.9666110183639399
Score 1,noisy,aggressive,20,30,599,599,0.01669449081803005,0.9833055091819699
Score 1,noisy,aggressive,20,40,599,599,0.00667779632721202,0.993322203672788
Score 1,noisy,aggressive,20,50,599,599,0.00333889816360601,0.996661101836394
Score 1,noisy,aggressive,20,57,599,599,0.00333889816360601,0.996661101836394
Score 1,noisy,stealthy,20,1,599,454,0.9559471365638766,0.04405286343612336
Score 1,noisy,stealthy,20,2,599,454,0.9559471365638766,0.04405286343612336
Score 1,noisy,stealthy,20,3,599,454,0.9559471365638766,0.04405286343612336
Score 1,noisy,stealthy,20,5,599,454,0.9581497797356828,0.04185022026431717
Score 1,noisy,stealthy,20,10,599,454,0.9383259911894273,0.06167400881057272
Score 1,noisy,stealthy,20,15,599,454,0.6585903083700441,0.34140969162995594
Score 1,noisy,stealthy,20,20,599,454,0.6696035242290749,0.3303964757709251
Score 1,noisy,stealthy,20,30,599,454,0.5814977973568282,0.41850220264317184
Score 1,noisy,stealthy,20,40,599,454,0.5066079295154186,0.49339207048458145
Score 1,noisy,stealthy,20,50,599,454,0.460352422907489,0.539647577092511
Score 1,noisy,stealthy,20,57,599,454,0.3634361233480176,0.6365638766519823
Score 1,structural,aggressive,30,1,899,899,0.9655172413793104,0.03448275862068961
Score 1,structural,aggressive,30,2,899,899,0.9655172413793104,0.03448275862068961
Score 1,structural,aggressive,30,3,899,899,0.9655172413793104,0.03448275862068961
Score 1,structural,aggressive,30,5,899,899,0.9655172413793104,0.03448275862068961
Score 1,structural,aggressive,30,10,899,899,0.9588431590656284,0.04115684093437155
Score 1,structural,aggressive,30,15,899,899,0.002224694104560623,0.9977753058954394
Score 1,structural,aggressive,30,20,899,899,0.002224694104560623,0.9977753058954394
Score 1,structural,aggressive,30,30,899,899,0.0,1.0
Score 1,structural,aggressive,30,40,899,899,0.0,1.0
Score 1,structural,aggressive,30,50,899,899,0.0,1.0
Score 1,structural,aggressive,30,57,899,899,0.0,1.0
Score 1,structural,stealthy,30,1,899,895,0.9653631284916201,0.03463687150837991
Score 1,structural,stealthy,30,2,899,895,0.9653631284916201,0.03463687150837991
Score 1,structural,stealthy,30,3,899,895,0.9653631284916201,0.03463687150837991
Score 1,structural,stealthy,30,5,899,895,0.9653631284916201,0.03463687150837991
Score 1,structural,stealthy,30,10,899,895,0.9653631284916201,0.03463687150837991
Score 1,structural,stealthy,30,15,899,895,0.6994413407821229,0.30055865921787706
Score 1,structural,stealthy,30,20,899,895,0.6960893854748603,0.3039106145251397
