score_type,tier,attack_pct,k,n_targeted,n_attacked,restoration_rate,asr_after,asr_before
Score 1,structural,10,1,203,166,0.9397590361445783,0.06024096385542166,0.8177339901477833
Score 1,structural,10,2,203,166,0.9397590361445783,0.06024096385542166,0.8177339901477833
Score 1,structural,10,3,203,166,0.9397590361445783,0.06024096385542166,0.8177339901477833
Score 1,structural,10,5,203,166,0.9397590361445783,0.06024096385542166,0.8177339901477833
Score 1,structural,10,10,203,166,0.9096385542168675,0.09036144578313254,0.8177339901477833
Score 1,structural,10,15,203,166,0.3795180722891566,0.6204819277108433,0.8177339901477833
Score 1,structural,10,20,203,166,0.3313253012048193,0.6686746987951807,0.8177339901477833
Score 1,structural,10,30,203,166,0.21686746987951808,0.7831325301204819,0.8177339901477833
Score 1,structural,10,40,203,166,0.12048192771084337,0.8795180722891567,0.8177339901477833
Score 1,structural,10,50,203,166,0.06626506024096386,0.9337349397590361,0.8177339901477833
Score 1,structural,10,57,203,166,0.04216867469879518,0.9578313253012049,0.8177339901477833
Score 1,noisy,10,1,203,180,0.9722222222222222,0.02777777777777779,0.8866995073891626
Score 1,noisy,10,2,203,180,0.9722222222222222,0.02777777777777779,0.8866995073891626
Score 1,noisy,10,3,203,180,0.9722222222222222,0.02777777777777779,0.8866995073891626
Score 1,noisy,10,5,203,180,0.9722222222222222,0.02777777777777779,0.8866995073891626
Score 1,noisy,10,10,203,180,0.95,0.050000000000000044,0.8866995073891626
Score 1,noisy,10,15,203,180,0.4777777777777778,0.5222222222222221,0.8866995073891626
Score 1,noisy,10,20,203,180,0.43333333333333335,0.5666666666666667,0.8866995073891626
Score 1,noisy,10,30,203,180,0.3111111111111111,0.6888888888888889,0.8866995073891626
Score 1,noisy,10,40,203,180,0.18333333333333332,0.8166666666666667,0.8866995073891626
Score 1,noisy,10,50,203,180,0.10555555555555556,0.8944444444444445,0.8866995073891626
Score 1,noisy,10,57,203,180,0.07222222222222222,0.9277777777777778,0.8866995073891626
Score 1,structural,20,1,406,335,0.9611940298507463,0.03880597014925369,0.8251231527093597
Score 1,structural,20,2,406,335,0.9611940298507463,0.03880597014925369,0.8251231527093597
Score 1,structural,20,3,406,335,0.9611940298507463,0.03880597014925369,0.8251231527093597
Score 1,structural,20,5,406,335,0.9611940298507463,0.03880597014925369,0.8251231527093597
Score 1,structural,20,10,406,335,0.9283582089552239,0.07164179104477608,0.8251231527093597
