Attack metrics report
Dataset: taiwan_bankruptcy
Attack: pgd
epsilon=0.1

Correctly-classified originals: 2998/3410
Successfully attacked (among correct): 2997/2998
ASR (among correct): 0.9997

Changed samples among correct (any feature changed): 2998/2998
Max |delta| among correct: 0.1

Changed samples among successful attacks: 2997/2997
Max |delta| among successful attacks: 0.1

Summary of perturbation size (delta = X_adv - X_test) over correctly-classified originals
  MAE  : mean=0.0789688 median=0.0788513 min=0.0717259 max=0.0926476
  RMSE : mean=0.0881643 median=0.0881665 min=0.0837337 max=0.095802
  L1   : mean=7.42307 median=7.41202 min=6.74223 max=8.70887
  L2   : mean=0.854785 median=0.854806 min=0.811828 max=0.928835
  Linf : mean=0.1 median=0.1 min=0.1 max=0.1

Original vs Perturbed (these can look very similar if delta is small)
Subset: correctly-classified originals
  MAE  : orig_mean=0.326241 adv_mean=0.353497 mean|diff|=0.0272564 max|diff|=0.0364327
  RMSE : orig_mean=0.450105 adv_mean=0.474387 mean|diff|=0.0243157 max|diff|=0.0364442
  L1   : orig_mean=30.6666 adv_mean=33.2287 mean|diff|=2.56211 max|diff|=3.42467
  L2   : orig_mean=4.36393 adv_mean=4.59936 mean|diff|=0.235749 max|diff|=0.35334
  Linf : orig_mean=0.999071 adv_mean=0.999895 mean|diff|=0.00101157 max|diff|=0.0561589

Subset: successfully-attacked (among correct)
  MAE  : orig_mean=0.326228 adv_mean=0.353486 mean|diff|=0.0272584 max|diff|=0.0364327
  RMSE : orig_mean=0.450089 adv_mean=0.474377 mean|diff|=0.0243218 max|diff|=0.0364442
  L1   : orig_mean=30.6654 adv_mean=33.2277 mean|diff|=2.56229 max|diff|=3.42467
  L2   : orig_mean=4.36377 adv_mean=4.59926 mean|diff|=0.235809 max|diff|=0.35334
  Linf : orig_mean=0.999071 adv_mean=0.999895 mean|diff|=0.00101191 max|diff|=0.0561589

Per-sample details (correctly-classified originals)
idx,attack_success,changed,mae_delta,rmse_delta,l1_delta,l2_delta,linf_delta
0,1,1,0.0804718,0.089267,7.56435,0.865476,0.1
1,1,1,0.0776417,0.087548,7.29832,0.84881,0.1
2,1,1,0.0801472,0.0885931,7.53384,0.858942,0.1
4,1,1,0.0778362,0.0876337,7.3166,0.84964,0.1
5,1,1,0.0789041,0.0883186,7.41699,0.856281,0.1
6,1,1,0.0731166,0.0851403,6.87296,0.825466,0.1
7,1,1,0.0797647,0.0887409,7.49788,0.860375,0.1
8,1,1,0.0748811,0.0851944,7.03882,0.82599,0.1
9,1,1,0.0799083,0.0888441,7.51138,0.861375,0.1
10,1,1,0.0757914,0.0860315,7.12439,0.834106,0.1
11,1,1,0.0789983,0.0884253,7.42584,0.857315,0.1
13,1,1,0.079413,0.0883796,7.46482,0.856872,0.1
14,1,1,0.0771281,0.087132,7.25004,0.844776,0.1
15,1,1,0.0789135,0.0878667,7.41787,0.8519,0.1
16,1,1,0.0810991,0.0896418,7.62331,0.869109,0.1
17,1,1,0.0780878,0.0876125,7.34025,0.849434,0.1
19,1,1,0.0777787,0.0875578,7.3112,0.848904,0.1
20,1,1,0.0748009,0.0846603,7.03129,0.820812,0.1
21,1,1,0.079382,0.0885293,7.4619,0.858323,0.1
22,1,1,0.0806032,0.0891939,7.5767,0.864767,0.1
24,1,1,0.0781808,0.0875452,7.349,0.848782,0.1
25,1,1,0.0799895,0.0889115,7.51901,0.862029,0.1
26,1,1,0.0896144,0.0935534,8.42376,0.907034,0.1
27,1,1,0.0794451,0.0888032,7.46784,0.860979,0.1
28,1,1,0.0751723,0.0853051,7.0662,0.827064,0.1
29,1,1,0.0807222,0.0889755,7.58789,0.862649,0.1
30,1,1,0.0782896,0.0877461,7.35923,0.85073,0.1
31,1,1,0.0861578,0.0921144,8.09883,0.893082,0.1
34,1,1,0.0787878,0.0878527,7.40605,0.851763,0.1
35,1,1,0.0802312,0.0889368,7.54174,0.862274,0.1
36,1,1,0.0789825,0.0884733,7.42436,0.857781,0.1
37,1,1,0.0811554,0.089645,7.62861,0.869141,0.1
38,1,1,0.0790983,0.0884827,7.43524,0.857872,0.1
39,1,1,0.0823976,0.0902398,7.74537,0.874907,0.1
40,1,1,0.0841333,0.0909869,7.90853,0.882151,0.1
42,1,1,0.0782941,0.08802,7.35965,0.853385,0.1
43,1,1,0.080124,0.0890831,7.53166,0.863693,0.1
44,1,1,0.0756464,0.0853791,7.11076,0.827781,0.1
45,1,1,0.0769591,0.0868561,7.23415,0.842102,0.1
46,1,1,0.0777473,0.0872443,7.30825,0.845865,0.1
47,1,1,0.0782753,0.0879984,7.35788,0.853176,0.1
50,1,1,0.0782219,0.0873174,7.35286,0.846574,0.1
51,1,1,0.0785088,0.0881209,7.37982,0.854364,0.1
52,1,1,0.0756524,0.0855969,7.11133,0.829893,0.1
53,1,1,0.0908241,0.0946377,8.53746,0.917546,0.1
54,1,1,0.0784701,0.0880728,7.37619,0.853898,0.1
55,1,1,0.0787259,0.0879124,7.40023,0.852343,0.1
56,1,1,0.0775917,0.0874796,7.29362,0.848146,0.1
57,1,1,0.0742302,0.0845219,6.97764,0.81947,0.1
58,1,1,0.088401,0.0934255,8.3097,0.905794,0.1
59,1,1,0.0789425,0.0882597,7.42059,0.85571,0.1
60,1,1,0.0783533,0.0879138,7.36521,0.852356,0.1
61,1,1,0.0806336,0.0892152,7.57955,0.864973,0.1
62,1,1,0.0791864,0.0882344,7.44353,0.855464,0.1
63,1,1,0.0793222,0.0883102,7.45629,0.856199,0.1
64,1,1,0.0810961,0.0895322,7.62303,0.868047,0.1
66,1,1,0.078668,0.0878822,7.3948,0.852049,0.1
67,1,1,0.0792388,0.0879583,7.44845,0.852787,0.1
68,1,1,0.0780696,0.0879476,7.33854,0.852684,0.1
69,1,1,0.0798151,0.0887338,7.50262,0.860306,0.1
70,1,1,0.079738,0.0886277,7.49537,0.859277,0.1
71,1,1,0.0821228,0.090219,7.71954,0.874706,0.1
72,1,1,0.0774424,0.0868034,7.27958,0.84159,0.1
73,1,1,0.0807248,0.0894887,7.58813,0.867625,0.1
74,1,1,0.0756872,0.0856785,7.11459,0.830684,0.1
75,1,1,0.0925377,0.0956106,8.69855,0.92698,0.1
76,1,1,0.0788137,0.088232,7.40849,0.855441,0.1
77,1,1,0.0774261,0.086993,7.27805,0.843428,0.1
78,1,1,0.0767886,0.0867244,7.21813,0.840824,0.1
79,1,1,0.0760792,0.0867661,7.15145,0.841228,0.1
80,1,1,0.0821634,0.090223,7.72336,0.874744,0.1
81,1,1,0.078813,0.0881733,7.40842,0.854872,0.1
82,1,1,0.0791858,0.0884869,7.44346,0.857913,0.1
83,1,1,0.0787237,0.0881575,7.40003,0.854719,0.1
84,1,1,0.077825,0.0877236,7.31555,0.850512,0.1
85,1,1,0.0786587,0.0881445,7.39392,0.854592,0.1
86,1,1,0.0791718,0.0883404,7.44215,0.856492,0.1
87,1,1,0.0779767,0.0876364,7.32981,0.849667,0.1
88,1,1,0.0797239,0.0889756,7.49405,0.86265,0.1
89,1,1,0.0808913,0.0893649,7.60378,0.866425,0.1
90,1,1,0.077232,0.0865336,7.25981,0.838975,0.1
91,1,1,0.0800105,0.0889973,7.52099,0.862861,0.1
92,1,1,0.0793276,0.0884608,7.45679,0.85766,0.1
94,1,1,0.0791992,0.088524,7.44473,0.858272,0.1
95,1,1,0.0812396,0.0896302,7.63652,0.868997,0.1
