Attack metrics report
Dataset: taiwan_bankruptcy
Attack: pgd
epsilon=0.3

Correctly-classified originals: 2998/3410
Successfully attacked (among correct): 2998/2998
ASR (among correct): 1.0000

Changed samples among correct (any feature changed): 2998/2998
Max |delta| among correct: 0.3

Changed samples among successful attacks: 2998/2998
Max |delta| among successful attacks: 0.3

Summary of perturbation size (delta = X_adv - X_test) over correctly-classified originals
  MAE  : mean=0.21554 median=0.214803 min=0.196912 max=0.257784
  RMSE : mean=0.247283 median=0.246776 min=0.234702 max=0.273735
  L1   : mean=20.2608 median=20.1915 min=18.5097 max=24.2317
  L2   : mean=2.3975 median=2.39259 min=2.27552 max=2.65396
  Linf : mean=0.3 median=0.3 min=0.3 max=0.3

Original vs Perturbed (these can look very similar if delta is small)
Subset: correctly-classified originals
  MAE  : orig_mean=0.326241 adv_mean=0.41417 mean|diff|=0.0879295 max|diff|=0.109776
  RMSE : orig_mean=0.450105 adv_mean=0.549144 mean|diff|=0.0990397 max|diff|=0.119434
  L1   : orig_mean=30.6666 adv_mean=38.932 mean|diff|=8.26537 max|diff|=10.319
  L2   : orig_mean=4.36393 adv_mean=5.32415 mean|diff|=0.960225 max|diff|=1.15796
  Linf : orig_mean=0.999071 adv_mean=1 mean|diff|=0.000929014 max|diff|=0.00943255

Subset: successfully-attacked (among correct)
  MAE  : orig_mean=0.326241 adv_mean=0.41417 mean|diff|=0.0879295 max|diff|=0.109776
  RMSE : orig_mean=0.450105 adv_mean=0.549144 mean|diff|=0.0990397 max|diff|=0.119434
  L1   : orig_mean=30.6666 adv_mean=38.932 mean|diff|=8.26537 max|diff|=10.319
  L2   : orig_mean=4.36393 adv_mean=5.32415 mean|diff|=0.960225 max|diff|=1.15796
  Linf : orig_mean=0.999071 adv_mean=1 mean|diff|=0.000929014 max|diff|=0.00943255

Per-sample details (correctly-classified originals)
idx,attack_success,changed,mae_delta,rmse_delta,l1_delta,l2_delta,linf_delta
0,1,1,0.214956,0.246345,20.2058,2.3884,0.3
1,1,1,0.217381,0.249457,20.4339,2.41858,0.3
2,1,1,0.221175,0.249945,20.7904,2.42331,0.3
4,1,1,0.21177,0.244738,19.9064,2.37282,0.3
5,1,1,0.217133,0.248231,20.4105,2.40669,0.3
6,1,1,0.211198,0.245572,19.8526,2.38091,0.3
7,1,1,0.216301,0.248074,20.3323,2.40517,0.3
8,1,1,0.204635,0.239596,19.2357,2.32297,0.3
9,1,1,0.21549,0.246212,20.256,2.38712,0.3
10,1,1,0.216777,0.248853,20.3771,2.41272,0.3
11,1,1,0.21843,0.249714,20.5324,2.42106,0.3
13,1,1,0.216095,0.247743,20.3129,2.40195,0.3
14,1,1,0.210439,0.243745,19.7812,2.36319,0.3
15,1,1,0.223543,0.253845,21.013,2.46111,0.3
16,1,1,0.221046,0.249839,20.7783,2.42228,0.3
17,1,1,0.213401,0.24603,20.0597,2.38535,0.3
19,1,1,0.213878,0.246722,20.1046,2.39205,0.3
20,1,1,0.210688,0.243911,19.8046,2.36481,0.3
21,1,1,0.213841,0.246402,20.101,2.38895,0.3
22,1,1,0.217822,0.248895,20.4752,2.41313,0.3
24,1,1,0.214531,0.247761,20.1659,2.40213,0.3
25,1,1,0.215868,0.247528,20.2916,2.39987,0.3
26,1,1,0.249411,0.267878,23.4446,2.59718,0.3
27,1,1,0.215036,0.246826,20.2134,2.39307,0.3
28,1,1,0.21536,0.24625,20.2439,2.38748,0.3
29,1,1,0.21455,0.245794,20.1677,2.38307,0.3
30,1,1,0.212311,0.244788,19.9572,2.37331,0.3
31,1,1,0.240642,0.263888,22.6203,2.55849,0.3
34,1,1,0.211948,0.245782,19.9231,2.38294,0.3
35,1,1,0.217846,0.248446,20.4775,2.40878,0.3
36,1,1,0.212332,0.245551,19.9592,2.3807,0.3
37,1,1,0.21493,0.247089,20.2035,2.39562,0.3
