score_type,tier,regime,attack_pct,k,n_targeted,n_attacked,restoration_rate,asr_after
Score 1,structural,default,10,1,205,205,0.697560975609756,0.30243902439024395
Score 1,structural,default,10,2,205,205,0.6048780487804878,0.3951219512195122
Score 1,structural,default,10,3,205,205,0.6195121951219512,0.3804878048780488
Score 1,structural,default,10,5,205,205,0.6048780487804878,0.3951219512195122
Score 1,structural,default,10,10,205,205,0.25365853658536586,0.7463414634146341
Score 1,structural,default,10,15,205,205,0.16097560975609757,0.8390243902439024
Score 1,structural,default,10,20,205,205,0.11219512195121951,0.8878048780487805
Score 1,structural,default,10,30,205,205,0.05853658536585366,0.9414634146341463
Score 1,structural,default,10,40,205,205,0.03414634146341464,0.9658536585365853
Score 1,structural,default,10,50,205,205,0.00975609756097561,0.9902439024390244
Score 1,structural,default,10,57,205,205,0.0,1.0
Score 1,noisy,default,10,1,205,184,0.5489130434782609,0.45108695652173914
Score 1,noisy,default,10,2,205,184,0.45108695652173914,0.5489130434782609
Score 1,noisy,default,10,3,205,184,0.43478260869565216,0.5652173913043479
Score 1,noisy,default,10,5,205,184,0.42391304347826086,0.5760869565217391
Score 1,noisy,default,10,10,205,184,0.1793478260869565,0.8206521739130435
Score 1,noisy,default,10,15,205,184,0.17391304347826086,0.8260869565217391
Score 1,noisy,default,10,20,205,184,0.13043478260869565,0.8695652173913043
Score 1,noisy,default,10,30,205,184,0.07065217391304347,0.9293478260869565
Score 1,noisy,default,10,40,205,184,0.07065217391304347,0.9293478260869565
Score 1,noisy,default,10,50,205,184,0.03260869565217391,0.967391304347826
Score 1,noisy,default,10,57,205,184,0.0,1.0
Score 1,structural,default,20,1,411,411,0.5498783454987834,0.45012165450121655
Score 1,structural,default,20,2,411,411,0.5352798053527981,0.46472019464720193
Score 1,structural,default,20,3,411,411,0.48175182481751827,0.5182481751824817
Score 1,structural,default,20,5,411,411,0.5036496350364964,0.4963503649635036
Score 1,structural,default,20,10,411,411,0.20924574209245742,0.7907542579075426
Score 1,structural,default,20,15,411,411,0.1386861313868613,0.8613138686131387
Score 1,structural,default,20,20,411,411,0.11678832116788321,0.8832116788321168
Score 1,structural,default,20,30,411,411,0.043795620437956206,0.9562043795620438
Score 1,structural,default,20,40,411,411,0.031630170316301706,0.9683698296836983
Score 1,structural,default,20,50,411,411,0.009732360097323601,0.9902676399026764
Score 1,structural,default,20,57,411,411,0.0,1.0
Score 1,noisy,default,20,1,411,381,0.5643044619422573,0.43569553805774275
Score 1,noisy,default,20,2,411,381,0.49868766404199477,0.5013123359580052
Score 1,noisy,default,20,3,411,381,0.5249343832020997,0.47506561679790027
Score 1,noisy,default,20,5,411,381,0.5091863517060368,0.49081364829396323
Score 1,noisy,default,20,10,411,381,0.2545931758530184,0.7454068241469816
Score 1,noisy,default,20,15,411,381,0.2230971128608924,0.7769028871391076
Score 1,noisy,default,20,20,411,381,0.2073490813648294,0.7926509186351706
Score 1,noisy,default,20,30,411,381,0.13648293963254593,0.863517060367454
Score 1,noisy,default,20,40,411,381,0.08136482939632546,0.9186351706036745
Score 1,noisy,default,20,50,411,381,0.031496062992125984,0.9685039370078741
Score 1,noisy,default,20,57,411,381,0.0,1.0
Score 1,structural,default,30,1,617,617,0.539708265802269,0.46029173419773095
Score 1,structural,default,30,2,617,617,0.49270664505672607,0.5072933549432739
Score 1,structural,default,30,3,617,617,0.3824959481361426,0.6175040518638574
Score 1,structural,default,30,5,617,617,0.3824959481361426,0.6175040518638574
Score 1,structural,default,30,10,617,617,0.2025931928687196,0.7974068071312804
Score 1,structural,default,30,15,617,617,0.17504051863857376,0.8249594813614263
Score 1,structural,default,30,20,617,617,0.14748784440842788,0.8525121555915721
Score 1,structural,default,30,30,617,617,0.07779578606158834,0.9222042139384117
Score 1,structural,default,30,40,617,617,0.05672609400324149,0.9432739059967585
Score 1,structural,default,30,50,617,617,0.024311183144246355,0.9756888168557536
Score 1,structural,default,30,57,617,617,0.0,1.0
Score 1,noisy,default,30,1,617,578,0.5951557093425606,0.40484429065743943
Score 1,noisy,default,30,2,617,578,0.5449826989619377,0.45501730103806226
Score 1,noisy,default,30,3,617,578,0.5570934256055363,0.4429065743944637
Score 1,noisy,default,30,5,617,578,0.46539792387543255,0.5346020761245674
Score 1,noisy,default,30,10,617,578,0.3460207612456747,0.6539792387543253
Score 1,noisy,default,30,15,617,578,0.2681660899653979,0.7318339100346021
