score_type,regime,tier,k,mean_alpha,std_alpha,n_samples
Score 1,aggressive,structural,1,0.19427703320980072,0.04511021822690964,411
Score 1,aggressive,structural,2,0.21826019883155823,0.018414465710520744,411
Score 1,aggressive,structural,3,0.2244943231344223,0.017204297706484795,411
Score 1,aggressive,structural,5,0.24579158425331116,0.015664689242839813,411
Score 1,aggressive,structural,10,0.511127233505249,0.03999422863125801,411
Score 1,aggressive,structural,15,0.5691854953765869,0.03739417344331741,411
Score 1,aggressive,structural,20,0.6035441756248474,0.03585683926939964,411
Score 1,aggressive,structural,30,0.6728683710098267,0.016581939533352852,411
Score 1,aggressive,structural,40,0.8445248007774353,0.01925394870340824,411
Score 1,aggressive,structural,50,0.9000053405761719,0.005321697797626257,411
Score 1,aggressive,structural,57,1.0,1.5316661006181675e-07,411
Score 1,aggressive,noisy,1,0.12889115512371063,0.08207779377698898,411
Score 1,aggressive,noisy,2,0.20619867742061615,0.04589968919754028,411
Score 1,aggressive,noisy,3,0.21061979234218597,0.04514293000102043,411
Score 1,aggressive,noisy,5,0.22975806891918182,0.04728574678301811,411
Score 1,aggressive,noisy,10,0.4364423453807831,0.12549597024917603,411
Score 1,aggressive,noisy,15,0.4887174665927887,0.12142239511013031,411
Score 1,aggressive,noisy,20,0.5225239396095276,0.12526997923851013,411
Score 1,aggressive,noisy,30,0.6281601190567017,0.07890918850898743,411
Score 1,aggressive,noisy,40,0.7995762228965759,0.07094769179821014,411
Score 1,aggressive,noisy,50,0.8867163062095642,0.025387628003954887,411
Score 1,aggressive,noisy,57,1.0,1.446925779191588e-07,411
Score 1,stealthy,structural,1,0.3350326120853424,0.10072062909603119,173
Score 1,stealthy,structural,2,0.3403127193450928,0.0972454696893692,173
Score 1,stealthy,structural,3,0.4082834720611572,0.11615382879972458,173
Score 1,stealthy,structural,5,0.47383686900138855,0.10638877004384995,173
Score 1,stealthy,structural,10,0.8199796080589294,0.04317370802164078,173
Score 1,stealthy,structural,15,0.895473301410675,0.06880916655063629,173
