score_type,regime,tier,singular_index,mean_energy_fraction,n_samples
Score 1,aggressive,structural,1,0.19427703320980072,411
Score 1,aggressive,structural,2,0.02398306131362915,411
Score 1,aggressive,structural,3,0.006234284956008196,411
Score 1,aggressive,structural,4,0.006003977730870247,411
Score 1,aggressive,structural,5,0.015293346717953682,411
Score 1,aggressive,structural,6,0.03653682768344879,411
Score 1,aggressive,structural,7,0.008207395672798157,411
Score 1,aggressive,structural,8,0.0030807119328528643,411
Score 1,aggressive,structural,9,0.2049667090177536,411
Score 1,aggressive,structural,10,0.012543958611786366,411
Score 1,aggressive,structural,11,0.01544663030654192,411
Score 1,aggressive,structural,12,0.0015480127185583115,411
Score 1,aggressive,structural,13,0.01130134891718626,411
Score 1,aggressive,structural,14,0.028763622045516968,411
Score 1,aggressive,structural,15,0.0009986154036596417,411
Score 1,aggressive,structural,16,0.007384296972304583,411
Score 1,aggressive,structural,17,9.701652743387967e-05,411
Score 1,aggressive,structural,18,0.02113659493625164,411
Score 1,aggressive,structural,19,0.00162976561114192,411
Score 1,aggressive,structural,20,0.004111034795641899,411
Score 1,aggressive,structural,21,0.001654988620430231,411
Score 1,aggressive,structural,22,0.009396983310580254,411
Score 1,aggressive,structural,23,0.00185445137321949,411
Score 1,aggressive,structural,24,0.008437011390924454,411
Score 1,aggressive,structural,25,0.001983002061024308,411
Score 1,aggressive,structural,26,0.00024424196453765035,411
Score 1,aggressive,structural,27,0.015484128147363663,411
Score 1,aggressive,structural,28,0.012772995978593826,411
Score 1,aggressive,structural,29,0.017242811620235443,411
Score 1,aggressive,structural,30,0.0002535424137022346,411
Score 1,aggressive,structural,31,3.938675217796117e-05,411
Score 1,aggressive,structural,32,0.0037187300622463226,411
Score 1,aggressive,structural,33,0.0988377183675766,411
Score 1,aggressive,structural,34,0.03094736486673355,411
Score 1,aggressive,structural,35,0.005538258235901594,411
Score 1,aggressive,structural,36,0.002096430864185095,411
Score 1,aggressive,structural,37,0.00026092969346791506,411
Score 1,aggressive,structural,38,0.00032783084316179156,411
Score 1,aggressive,structural,39,0.0021244206000119448,411
Score 1,aggressive,structural,40,0.02776535041630268,411
Score 1,aggressive,structural,41,0.0006294389604590833,411
Score 1,aggressive,structural,42,0.0031460500322282314,411
Score 1,aggressive,structural,43,0.0013541290536522865,411
Score 1,aggressive,structural,44,0.0011311530834063888,411
Score 1,aggressive,structural,45,0.004006263334304094,411
Score 1,aggressive,structural,46,0.00022751557116862386,411
Score 1,aggressive,structural,47,0.006477018818259239,411
Score 1,aggressive,structural,48,0.0018891404615715146,411
Score 1,aggressive,structural,49,0.027008002623915672,411
Score 1,aggressive,structural,50,0.00961147528141737,411
Score 1,aggressive,structural,51,0.007188388612121344,411
Score 1,aggressive,structural,52,0.01996176317334175,411
Score 1,aggressive,structural,53,0.0012678328203037381,411
Score 1,aggressive,structural,54,0.03266965597867966,411
Score 1,aggressive,structural,55,0.0026659234426915646,411
Score 1,aggressive,structural,56,0.0001366450305795297,411
Score 1,aggressive,structural,57,0.03610489144921303,411
Score 1,aggressive,noisy,1,0.12889115512371063,411
Score 1,aggressive,noisy,2,0.07730736583471298,411
Score 1,aggressive,noisy,3,0.004421284422278404,411
Score 1,aggressive,noisy,4,0.005398575682193041,411
Score 1,aggressive,noisy,5,0.013739462941884995,411
Score 1,aggressive,noisy,6,0.030672574415802956,411
Score 1,aggressive,noisy,7,0.006167890969663858,411
Score 1,aggressive,noisy,8,0.017383094877004623,411
Score 1,aggressive,noisy,9,0.14234589040279388,411
Score 1,aggressive,noisy,10,0.010115336626768112,411
Score 1,aggressive,noisy,11,0.01433608215302229,411
Score 1,aggressive,noisy,12,0.0016046427190303802,411
Score 1,aggressive,noisy,13,0.018875205889344215,411
Score 1,aggressive,noisy,14,0.01618584245443344,411
Score 1,aggressive,noisy,15,0.0012735463678836823,411
Score 1,aggressive,noisy,16,0.0061736456118524075,411
Score 1,aggressive,noisy,17,0.0007108570425771177,411
Score 1,aggressive,noisy,18,0.015996206551790237,411
Score 1,aggressive,noisy,19,0.0018003551522269845,411
Score 1,aggressive,noisy,20,0.009124869480729103,411
Score 1,aggressive,noisy,21,0.0036732302978634834,411
Score 1,aggressive,noisy,22,0.008561248891055584,411
Score 1,aggressive,noisy,23,0.005160353612154722,411
Score 1,aggressive,noisy,24,0.028826920315623283,411
Score 1,aggressive,noisy,25,0.007513128221035004,411
Score 1,aggressive,noisy,26,0.0011369411367923021,411
Score 1,aggressive,noisy,27,0.015244162641465664,411
Score 1,aggressive,noisy,28,0.017003031447529793,411
Score 1,aggressive,noisy,29,0.01687965728342533,411
Score 1,aggressive,noisy,30,0.0016374315600842237,411
Score 1,aggressive,noisy,31,0.0008504821453243494,411
Score 1,aggressive,noisy,32,0.01570224016904831,411
Score 1,aggressive,noisy,33,0.07583700120449066,411
Score 1,aggressive,noisy,34,0.022298019379377365,411
Score 1,aggressive,noisy,35,0.023175932466983795,411
Score 1,aggressive,noisy,36,0.007945382967591286,411
Score 1,aggressive,noisy,37,0.0031780810095369816,411
Score 1,aggressive,noisy,38,0.000943811028264463,411
Score 1,aggressive,noisy,39,0.0041520982049405575,411
Score 1,aggressive,noisy,40,0.017333311960101128,411
Score 1,aggressive,noisy,41,0.002047291724011302,411
Score 1,aggressive,noisy,42,0.020510170608758926,411
