score_type,tier,regime,attack_pct,k,n_targeted,n_attacked,restoration_rate,asr_after
Score 1,structural,default,10,1,299,296,0.9358108108108109,0.06418918918918914
Score 1,structural,default,10,2,299,296,0.9358108108108109,0.06418918918918914
Score 1,structural,default,10,3,299,296,0.9358108108108109,0.06418918918918914
Score 1,structural,default,10,5,299,296,0.9358108108108109,0.06418918918918914
Score 1,structural,default,10,10,299,296,0.9358108108108109,0.06418918918918914
Score 1,structural,default,10,15,299,296,0.5236486486486487,0.4763513513513513
Score 1,structural,default,10,20,299,296,0.33783783783783783,0.6621621621621622
Score 1,structural,default,10,30,299,296,0.2972972972972973,0.7027027027027026
Score 1,structural,default,10,40,299,296,0.23648648648648649,0.7635135135135135
Score 1,structural,default,10,50,299,296,0.17905405405405406,0.8209459459459459
Score 1,structural,default,10,70,299,296,0.033783783783783786,0.9662162162162162
Score 1,structural,default,10,94,299,296,0.0,1.0
Score 1,noisy,default,10,1,299,193,0.9222797927461139,0.07772020725388606
Score 1,noisy,default,10,2,299,193,0.9222797927461139,0.07772020725388606
Score 1,noisy,default,10,3,299,193,0.9222797927461139,0.07772020725388606
Score 1,noisy,default,10,5,299,193,0.9222797927461139,0.07772020725388606
Score 1,noisy,default,10,10,299,193,0.8808290155440415,0.11917098445595853
Score 1,noisy,default,10,15,299,193,0.6010362694300518,0.39896373056994816
Score 1,noisy,default,10,20,299,193,0.46632124352331605,0.533678756476684
Score 1,noisy,default,10,30,299,193,0.32124352331606215,0.6787564766839378
Score 1,noisy,default,10,40,299,193,0.22797927461139897,0.772020725388601
Score 1,noisy,default,10,50,299,193,0.20725388601036268,0.7927461139896373
Score 1,noisy,default,10,70,299,193,0.03626943005181347,0.9637305699481865
Score 1,noisy,default,10,94,299,193,0.0,1.0
Score 1,structural,default,20,1,599,587,0.9540034071550255,0.04599659284497448
Score 1,structural,default,20,2,599,587,0.9540034071550255,0.04599659284497448
Score 1,structural,default,20,3,599,587,0.9540034071550255,0.04599659284497448
Score 1,structural,default,20,5,599,587,0.9420783645655877,0.05792163543441231
Score 1,structural,default,20,10,599,587,0.9437819420783645,0.05621805792163548
Score 1,structural,default,20,15,599,587,0.4684838160136286,0.5315161839863713
Score 1,structural,default,20,20,599,587,0.28620102214650767,0.7137989778534923
Score 1,structural,default,20,30,599,587,0.22146507666098808,0.778534923339012
Score 1,structural,default,20,40,599,587,0.2231686541737649,0.776831345826235
Score 1,structural,default,20,50,599,587,0.2010221465076661,0.798977853492334
Score 1,structural,default,20,70,599,587,0.020442930153321975,0.979557069846678
Score 1,structural,default,20,94,599,587,0.0,1.0
Score 1,noisy,default,20,1,599,431,0.9559164733178654,0.044083526682134555
Score 1,noisy,default,20,2,599,431,0.9559164733178654,0.044083526682134555
Score 1,noisy,default,20,3,599,431,0.9443155452436195,0.05568445475638051
Score 1,noisy,default,20,5,599,431,0.9443155452436195,0.05568445475638051
Score 1,noisy,default,20,10,599,431,0.8677494199535963,0.13225058004640367
Score 1,noisy,default,20,15,599,431,0.4895591647331787,0.5104408352668213
Score 1,noisy,default,20,20,599,431,0.35498839907192575,0.6450116009280742
Score 1,noisy,default,20,30,599,431,0.2552204176334107,0.7447795823665893
Score 1,noisy,default,20,40,599,431,0.16009280742459397,0.839907192575406
Score 1,noisy,default,20,50,599,431,0.18329466357308585,0.8167053364269141
Score 1,noisy,default,20,70,599,431,0.030162412993039442,0.9698375870069605
Score 1,noisy,default,20,94,599,431,0.0,1.0
Score 1,structural,default,30,1,899,868,0.9642857142857143,0.0357142857142857
Score 1,structural,default,30,2,899,868,0.9642857142857143,0.0357142857142857
Score 1,structural,default,30,3,899,868,0.9550691244239631,0.04493087557603692
Score 1,structural,default,30,5,899,868,0.9158986175115207,0.08410138248847931
Score 1,structural,default,30,10,899,868,0.9158986175115207,0.08410138248847931
Score 1,structural,default,30,15,899,868,0.4043778801843318,0.5956221198156681
Score 1,structural,default,30,20,899,868,0.3052995391705069,0.6947004608294931
Score 1,structural,default,30,30,899,868,0.2523041474654378,0.7476958525345623
Score 1,structural,default,30,40,899,868,0.20391705069124424,0.7960829493087558
Score 1,structural,default,30,50,899,868,0.1382488479262673,0.8617511520737327
Score 1,structural,default,30,70,899,868,0.026497695852534562,0.9735023041474654
Score 1,structural,default,30,94,899,868,0.0,1.0
Score 1,noisy,default,30,1,899,663,0.9622926093514329,0.037707390648567096
Score 1,noisy,default,30,2,899,663,0.9336349924585219,0.06636500754147812
Score 1,noisy,default,30,3,899,663,0.9351432880844646,0.06485671191553544
Score 1,noisy,default,30,5,899,663,0.9260935143288085,0.07390648567119151
