score_type,tier,regime,attack_pct,k,n_targeted,n_attacked,restoration_rate,asr_after
Score 1,structural,default,10,1,299,296,0.9358108108108109,0.06418918918918914
Score 1,structural,default,10,2,299,296,0.9358108108108109,0.06418918918918914
Score 1,structural,default,10,3,299,296,0.9358108108108109,0.06418918918918914
Score 1,structural,default,10,5,299,296,0.9358108108108109,0.06418918918918914
Score 1,structural,default,10,10,299,296,0.9358108108108109,0.06418918918918914
Score 1,structural,default,10,15,299,296,0.6790540540540541,0.32094594594594594
Score 1,structural,default,10,20,299,296,0.46283783783783783,0.5371621621621622
Score 1,structural,default,10,30,299,296,0.375,0.625
Score 1,structural,default,10,40,299,296,0.15202702702702703,0.847972972972973
Score 1,structural,default,10,50,299,296,0.10810810810810811,0.8918918918918919
Score 1,structural,default,10,70,299,296,0.057432432432432436,0.9425675675675675
Score 1,structural,default,10,94,299,296,0.0,1.0
Score 1,noisy,default,10,1,299,193,0.9222797927461139,0.07772020725388606
Score 1,noisy,default,10,2,299,193,0.9222797927461139,0.07772020725388606
Score 1,noisy,default,10,3,299,193,0.9222797927461139,0.07772020725388606
Score 1,noisy,default,10,5,299,193,0.9222797927461139,0.07772020725388606
Score 1,noisy,default,10,10,299,193,0.8756476683937824,0.12435233160621761
Score 1,noisy,default,10,15,299,193,0.7927461139896373,0.20725388601036265
Score 1,noisy,default,10,20,299,193,0.6113989637305699,0.3886010362694301
Score 1,noisy,default,10,30,299,193,0.5595854922279793,0.44041450777202074
Score 1,noisy,default,10,40,299,193,0.3005181347150259,0.6994818652849741
Score 1,noisy,default,10,50,299,193,0.18134715025906736,0.8186528497409327
Score 1,noisy,default,10,70,299,193,0.05181347150259067,0.9481865284974094
Score 1,noisy,default,10,94,299,193,0.0,1.0
Score 1,structural,default,20,1,599,587,0.9540034071550255,0.04599659284497448
Score 1,structural,default,20,2,599,587,0.9540034071550255,0.04599659284497448
Score 1,structural,default,20,3,599,587,0.9540034071550255,0.04599659284497448
Score 1,structural,default,20,5,599,587,0.9540034071550255,0.04599659284497448
Score 1,structural,default,20,10,599,587,0.9522998296422487,0.047700170357751315
Score 1,structural,default,20,15,599,587,0.6712095400340715,0.3287904599659285
Score 1,structural,default,20,20,599,587,0.5127768313458262,0.4872231686541738
Score 1,structural,default,20,30,599,587,0.42589437819420783,0.5741056218057922
Score 1,structural,default,20,40,599,587,0.18228279386712096,0.817717206132879
Score 1,structural,default,20,50,599,587,0.12095400340715502,0.879045996592845
Score 1,structural,default,20,70,599,587,0.07325383304940375,0.9267461669505963
Score 1,structural,default,20,94,599,587,0.0,1.0
Score 1,noisy,default,20,1,599,431,0.9559164733178654,0.044083526682134555
Score 1,noisy,default,20,2,599,431,0.9559164733178654,0.044083526682134555
Score 1,noisy,default,20,3,599,431,0.9559164733178654,0.044083526682134555
Score 1,noisy,default,20,5,599,431,0.9559164733178654,0.044083526682134555
Score 1,noisy,default,20,10,599,431,0.9048723897911833,0.09512761020881666
Score 1,noisy,default,20,15,599,431,0.7819025522041764,0.21809744779582363
Score 1,noisy,default,20,20,599,431,0.6218097447795824,0.3781902552204176
Score 1,noisy,default,20,30,599,431,0.5707656612529002,0.4292343387470998
Score 1,noisy,default,20,40,599,431,0.2900232018561485,0.7099767981438515
Score 1,noisy,default,20,50,599,431,0.16937354988399073,0.8306264501160092
Score 1,noisy,default,20,70,599,431,0.06960556844547564,0.9303944315545244
Score 1,noisy,default,20,94,599,431,0.0,1.0
Score 1,structural,default,30,1,899,868,0.9642857142857143,0.0357142857142857
Score 1,structural,default,30,2,899,868,0.9642857142857143,0.0357142857142857
Score 1,structural,default,30,3,899,868,0.9642857142857143,0.0357142857142857
Score 1,structural,default,30,5,899,868,0.9642857142857143,0.0357142857142857
Score 1,structural,default,30,10,899,868,0.9619815668202765,0.03801843317972353
Score 1,structural,default,30,15,899,868,0.6797235023041475,0.32027649769585254
Score 1,structural,default,30,20,899,868,0.5172811059907834,0.48271889400921664
Score 1,structural,default,30,30,899,868,0.4539170506912442,0.5460829493087558
Score 1,structural,default,30,40,899,868,0.18663594470046083,0.8133640552995391
Score 1,structural,default,30,50,899,868,0.11635944700460829,0.8836405529953917
Score 1,structural,default,30,70,899,868,0.06566820276497695,0.934331797235023
Score 1,structural,default,30,94,899,868,0.0,1.0
Score 1,noisy,default,30,1,899,663,0.9622926093514329,0.037707390648567096
Score 1,noisy,default,30,2,899,663,0.9622926093514329,0.037707390648567096
Score 1,noisy,default,30,3,899,663,0.9622926093514329,0.037707390648567096
Score 1,noisy,default,30,5,899,663,0.9622926093514329,0.037707390648567096
