score_type,tier,regime,attack_pct,k,n_targeted,n_attacked,restoration_rate,asr_after
Score 1,structural,aggressive,10,1,299,299,0.06354515050167224,0.9364548494983278
Score 1,structural,aggressive,10,2,299,299,0.0,1.0
Score 1,structural,aggressive,10,3,299,299,0.0,1.0
Score 1,structural,aggressive,10,5,299,299,0.0,1.0
Score 1,structural,aggressive,10,10,299,299,0.0,1.0
Score 1,structural,aggressive,10,15,299,299,0.0,1.0
Score 1,structural,aggressive,10,20,299,299,0.0,1.0
Score 1,structural,aggressive,10,30,299,299,0.0,1.0
Score 1,structural,aggressive,10,40,299,299,0.0,1.0
Score 1,structural,aggressive,10,50,299,299,0.0,1.0
Score 1,structural,aggressive,10,70,299,299,0.0,1.0
Score 1,structural,aggressive,10,94,299,299,0.0,1.0
Score 1,structural,stealthy,10,1,299,299,0.9364548494983278,0.0635451505016722
Score 1,structural,stealthy,10,2,299,299,0.9364548494983278,0.0635451505016722
Score 1,structural,stealthy,10,3,299,299,0.5183946488294314,0.4816053511705686
Score 1,structural,stealthy,10,5,299,299,0.15384615384615385,0.8461538461538461
Score 1,structural,stealthy,10,10,299,299,0.013377926421404682,0.9866220735785953
Score 1,structural,stealthy,10,15,299,299,0.0033444816053511705,0.9966555183946488
Score 1,structural,stealthy,10,20,299,299,0.0,1.0
Score 1,structural,stealthy,10,30,299,299,0.0,1.0
Score 1,structural,stealthy,10,40,299,299,0.0,1.0
Score 1,structural,stealthy,10,50,299,299,0.0,1.0
Score 1,structural,stealthy,10,70,299,299,0.0,1.0
Score 1,structural,stealthy,10,94,299,299,0.0,1.0
Score 1,noisy,aggressive,10,1,299,299,0.05351170568561873,0.9464882943143813
Score 1,noisy,aggressive,10,2,299,299,0.013377926421404682,0.9866220735785953
Score 1,noisy,aggressive,10,3,299,299,0.013377926421404682,0.9866220735785953
Score 1,noisy,aggressive,10,5,299,299,0.013377926421404682,0.9866220735785953
Score 1,noisy,aggressive,10,10,299,299,0.013377926421404682,0.9866220735785953
Score 1,noisy,aggressive,10,15,299,299,0.0,1.0
Score 1,noisy,aggressive,10,20,299,299,0.0,1.0
Score 1,noisy,aggressive,10,30,299,299,0.0,1.0
Score 1,noisy,aggressive,10,40,299,299,0.0,1.0
Score 1,noisy,aggressive,10,50,299,299,0.0,1.0
Score 1,noisy,aggressive,10,70,299,299,0.0,1.0
Score 1,noisy,aggressive,10,94,299,299,0.0,1.0
Score 1,noisy,stealthy,10,1,299,243,0.934156378600823,0.06584362139917699
Score 1,noisy,stealthy,10,2,299,243,0.934156378600823,0.06584362139917699
Score 1,noisy,stealthy,10,3,299,243,0.9300411522633745,0.06995884773662553
Score 1,noisy,stealthy,10,5,299,243,0.9300411522633745,0.06995884773662553
Score 1,noisy,stealthy,10,10,299,243,0.11934156378600823,0.8806584362139918
Score 1,noisy,stealthy,10,15,299,243,0.053497942386831275,0.9465020576131687
Score 1,noisy,stealthy,10,20,299,243,0.024691358024691357,0.9753086419753086
Score 1,noisy,stealthy,10,30,299,243,0.0205761316872428,0.9794238683127572
Score 1,noisy,stealthy,10,40,299,243,0.01646090534979424,0.9835390946502057
Score 1,noisy,stealthy,10,50,299,243,0.00823045267489712,0.9917695473251029
Score 1,noisy,stealthy,10,70,299,243,0.0,1.0
Score 1,noisy,stealthy,10,94,299,243,0.0,1.0
Score 1,structural,aggressive,20,1,599,599,0.045075125208681135,0.9549248747913188
Score 1,structural,aggressive,20,2,599,599,0.0,1.0
Score 1,structural,aggressive,20,3,599,599,0.0,1.0
Score 1,structural,aggressive,20,5,599,599,0.0,1.0
Score 1,structural,aggressive,20,10,599,599,0.0,1.0
Score 1,structural,aggressive,20,15,599,599,0.0,1.0
Score 1,structural,aggressive,20,20,599,599,0.0,1.0
Score 1,structural,aggressive,20,30,599,599,0.0,1.0
Score 1,structural,aggressive,20,40,599,599,0.0,1.0
Score 1,structural,aggressive,20,50,599,599,0.0,1.0
Score 1,structural,aggressive,20,70,599,599,0.0,1.0
Score 1,structural,aggressive,20,94,599,599,0.0,1.0
Score 1,structural,stealthy,20,1,599,599,0.9549248747913188,0.04507512520868118
Score 1,structural,stealthy,20,2,599,599,0.17696160267111852,0.8230383973288815
Score 1,structural,stealthy,20,3,599,599,0.035058430717863104,0.9649415692821369
Score 1,structural,stealthy,20,5,599,599,0.015025041736227046,0.9849749582637729
Score 1,structural,stealthy,20,10,599,599,0.0,1.0
Score 1,structural,stealthy,20,15,599,599,0.0,1.0
Score 1,structural,stealthy,20,20,599,599,0.0,1.0
Score 1,structural,stealthy,20,30,599,599,0.0,1.0
Score 1,structural,stealthy,20,40,599,599,0.0,1.0
Score 1,structural,stealthy,20,50,599,599,0.0,1.0
Score 1,structural,stealthy,20,70,599,599,0.0,1.0
Score 1,structural,stealthy,20,94,599,599,0.0,1.0
Score 1,noisy,aggressive,20,1,599,599,0.0333889816360601,0.9666110183639399
Score 1,noisy,aggressive,20,2,599,599,0.005008347245409015,0.994991652754591
Score 1,noisy,aggressive,20,3,599,599,0.00667779632721202,0.993322203672788
Score 1,noisy,aggressive,20,5,599,599,0.005008347245409015,0.994991652754591
Score 1,noisy,aggressive,20,10,599,599,0.00667779632721202,0.993322203672788
Score 1,noisy,aggressive,20,15,599,599,0.0,1.0
Score 1,noisy,aggressive,20,20,599,599,0.0,1.0
Score 1,noisy,aggressive,20,30,599,599,0.0,1.0
Score 1,noisy,aggressive,20,40,599,599,0.0,1.0
Score 1,noisy,aggressive,20,50,599,599,0.0,1.0
Score 1,noisy,aggressive,20,70,599,599,0.0,1.0
Score 1,noisy,aggressive,20,94,599,599,0.0,1.0
Score 1,noisy,stealthy,20,1,599,529,0.9621928166351607,0.03780718336483935
Score 1,noisy,stealthy,20,2,599,529,0.43856332703213613,0.5614366729678639
Score 1,noisy,stealthy,20,3,599,529,0.3648393194706994,0.6351606805293006
Score 1,noisy,stealthy,20,5,599,529,0.2589792060491493,0.7410207939508506
Score 1,noisy,stealthy,20,10,599,529,0.011342155009451797,0.9886578449905482
Score 1,noisy,stealthy,20,15,599,529,0.04725897920604915,0.9527410207939508
Score 1,noisy,stealthy,20,20,599,529,0.013232514177693762,0.9867674858223062
Score 1,noisy,stealthy,20,30,599,529,0.00945179584120983,0.9905482041587902
Score 1,noisy,stealthy,20,40,599,529,0.00945179584120983,0.9905482041587902
Score 1,noisy,stealthy,20,50,599,529,0.003780718336483932,0.996219281663516
Score 1,noisy,stealthy,20,70,599,529,0.0,1.0
Score 1,noisy,stealthy,20,94,599,529,0.0,1.0
Score 1,structural,aggressive,30,1,899,899,0.034482758620689655,0.9655172413793104
Score 1,structural,aggressive,30,2,899,899,0.0,1.0
Score 1,structural,aggressive,30,3,899,899,0.0,1.0
Score 1,structural,aggressive,30,5,899,899,0.0,1.0
Score 1,structural,aggressive,30,10,899,899,0.0,1.0
Score 1,structural,aggressive,30,15,899,899,0.0,1.0
Score 1,structural,aggressive,30,20,899,899,0.0,1.0
Score 1,structural,aggressive,30,30,899,899,0.0,1.0
Score 1,structural,aggressive,30,40,899,899,0.0,1.0
Score 1,structural,aggressive,30,50,899,899,0.0,1.0
Score 1,structural,aggressive,30,70,899,899,0.0,1.0
Score 1,structural,aggressive,30,94,899,899,0.0,1.0
Score 1,structural,stealthy,30,1,899,899,0.7130144605116796,0.2869855394883204
Score 1,structural,stealthy,30,2,899,899,0.020022246941045607,0.9799777530589544
Score 1,structural,stealthy,30,3,899,899,0.013348164627363738,0.9866518353726362
Score 1,structural,stealthy,30,5,899,899,0.008898776418242492,0.9911012235817576
Score 1,structural,stealthy,30,10,899,899,0.0,1.0
Score 1,structural,stealthy,30,15,899,899,0.0,1.0
Score 1,structural,stealthy,30,20,899,899,0.0,1.0
Score 1,structural,stealthy,30,30,899,899,0.0,1.0
Score 1,structural,stealthy,30,40,899,899,0.0,1.0
Score 1,structural,stealthy,30,50,899,899,0.0,1.0
Score 1,structural,stealthy,30,70,899,899,0.0,1.0
Score 1,structural,stealthy,30,94,899,899,0.0,1.0
Score 1,noisy,aggressive,30,1,899,899,0.028921023359288096,0.9710789766407119
Score 1,noisy,aggressive,30,2,899,899,0.004449388209121246,0.9955506117908788
Score 1,noisy,aggressive,30,3,899,899,0.0055617352614015575,0.9944382647385984
Score 1,noisy,aggressive,30,5,899,899,0.0033370411568409346,0.996662958843159
Score 1,noisy,aggressive,30,10,899,899,0.0033370411568409346,0.996662958843159
Score 1,noisy,aggressive,30,15,899,899,0.0,1.0
Score 1,noisy,aggressive,30,20,899,899,0.0,1.0
Score 1,noisy,aggressive,30,30,899,899,0.0,1.0
Score 1,noisy,aggressive,30,40,899,899,0.0,1.0
Score 1,noisy,aggressive,30,50,899,899,0.0,1.0
Score 1,noisy,aggressive,30,70,899,899,0.0,1.0
Score 1,noisy,aggressive,30,94,899,899,0.0,1.0
Score 1,noisy,stealthy,30,1,899,827,0.9770253929866989,0.022974607013301118
Score 1,noisy,stealthy,30,2,899,827,0.20435308343409916,0.7956469165659008
Score 1,noisy,stealthy,30,3,899,827,0.07134220072551391,0.9286577992744861
Score 1,noisy,stealthy,30,5,899,827,0.02176541717049577,0.9782345828295043
Score 1,noisy,stealthy,30,10,899,827,0.006045949214026602,0.9939540507859734
Score 1,noisy,stealthy,30,15,899,827,0.02902055622732769,0.9709794437726723
Score 1,noisy,stealthy,30,20,899,827,0.014510278113663845,0.9854897218863361
Score 1,noisy,stealthy,30,30,899,827,0.010882708585247884,0.9891172914147521
Score 1,noisy,stealthy,30,40,899,827,0.009673518742442563,0.9903264812575574
Score 1,noisy,stealthy,30,50,899,827,0.006045949214026602,0.9939540507859734
Score 1,noisy,stealthy,30,70,899,827,0.0012091898428053204,0.9987908101571947
Score 1,noisy,stealthy,30,94,899,827,0.0,1.0
Score 1,structural,aggressive,40,1,1199,1199,0.02835696413678065,0.9716430358632193
Score 1,structural,aggressive,40,2,1199,1199,0.0,1.0
Score 1,structural,aggressive,40,3,1199,1199,0.0,1.0
Score 1,structural,aggressive,40,5,1199,1199,0.0,1.0
Score 1,structural,aggressive,40,10,1199,1199,0.0,1.0
Score 1,structural,aggressive,40,15,1199,1199,0.0,1.0
Score 1,structural,aggressive,40,20,1199,1199,0.0,1.0
Score 1,structural,aggressive,40,30,1199,1199,0.0,1.0
Score 1,structural,aggressive,40,40,1199,1199,0.0,1.0
Score 1,structural,aggressive,40,50,1199,1199,0.0,1.0
Score 1,structural,aggressive,40,70,1199,1199,0.0,1.0
Score 1,structural,aggressive,40,94,1199,1199,0.0,1.0
Score 1,structural,stealthy,40,1,1199,1199,0.02835696413678065,0.9716430358632193
Score 1,structural,stealthy,40,2,1199,1199,0.010008340283569641,0.9899916597164303
Score 1,structural,stealthy,40,3,1199,1199,0.009174311926605505,0.9908256880733946
Score 1,structural,stealthy,40,5,1199,1199,0.0025020850708924102,0.9974979149291076
Score 1,structural,stealthy,40,10,1199,1199,0.0,1.0
Score 1,structural,stealthy,40,15,1199,1199,0.0,1.0
Score 1,structural,stealthy,40,20,1199,1199,0.0,1.0
Score 1,structural,stealthy,40,30,1199,1199,0.0,1.0
Score 1,structural,stealthy,40,40,1199,1199,0.0,1.0
Score 1,structural,stealthy,40,50,1199,1199,0.0,1.0
Score 1,structural,stealthy,40,70,1199,1199,0.0,1.0
Score 1,structural,stealthy,40,94,1199,1199,0.0,1.0
Score 1,noisy,aggressive,40,1,1199,1199,0.029190992493744787,0.9708090075062552
Score 1,noisy,aggressive,40,2,1199,1199,0.003336113427856547,0.9966638865721434
Score 1,noisy,aggressive,40,3,1199,1199,0.004170141784820684,0.9958298582151793
Score 1,noisy,aggressive,40,5,1199,1199,0.0025020850708924102,0.9974979149291076
Score 1,noisy,aggressive,40,10,1199,1199,0.0016680567139282735,0.9983319432860718
Score 1,noisy,aggressive,40,15,1199,1199,0.0,1.0
Score 1,noisy,aggressive,40,20,1199,1199,0.0,1.0
Score 1,noisy,aggressive,40,30,1199,1199,0.0,1.0
Score 1,noisy,aggressive,40,40,1199,1199,0.0,1.0
Score 1,noisy,aggressive,40,50,1199,1199,0.0,1.0
Score 1,noisy,aggressive,40,70,1199,1199,0.0,1.0
Score 1,noisy,aggressive,40,94,1199,1199,0.0,1.0
Score 1,noisy,stealthy,40,1,1199,1127,0.031055900621118012,0.968944099378882
Score 1,noisy,stealthy,40,2,1199,1127,0.038154392191659274,0.9618456078083407
Score 1,noisy,stealthy,40,3,1199,1127,0.037267080745341616,0.9627329192546584
Score 1,noisy,stealthy,40,5,1199,1127,0.018633540372670808,0.9813664596273292
Score 1,noisy,stealthy,40,10,1199,1127,0.0044365572315882874,0.9955634427684117
Score 1,noisy,stealthy,40,15,1199,1127,0.015084294587400177,0.9849157054125999
Score 1,noisy,stealthy,40,20,1199,1127,0.011535048802129548,0.9884649511978705
Score 1,noisy,stealthy,40,30,1199,1127,0.006211180124223602,0.9937888198757764
Score 1,noisy,stealthy,40,40,1199,1127,0.00709849157054126,0.9929015084294588
Score 1,noisy,stealthy,40,50,1199,1127,0.0044365572315882874,0.9955634427684117
Score 1,noisy,stealthy,40,70,1199,1127,0.0008873114463176575,0.9991126885536823
Score 1,noisy,stealthy,40,94,1199,1127,0.0,1.0
Score 1,structural,aggressive,50,1,1499,1499,0.030687124749833223,0.9693128752501667
Score 1,structural,aggressive,50,2,1499,1499,0.0,1.0
Score 1,structural,aggressive,50,3,1499,1499,0.0,1.0
Score 1,structural,aggressive,50,5,1499,1499,0.0,1.0
Score 1,structural,aggressive,50,10,1499,1499,0.0,1.0
