score_type,tier,regime,attack_pct,k,n_targeted,n_attacked,restoration_rate,asr_after
Score 1,structural,aggressive,10,1,299,299,0.9364548494983278,0.0635451505016722
Score 1,structural,aggressive,10,2,299,299,0.9364548494983278,0.0635451505016722
Score 1,structural,aggressive,10,3,299,299,0.9364548494983278,0.0635451505016722
Score 1,structural,aggressive,10,5,299,299,0.9364548494983278,0.0635451505016722
Score 1,structural,aggressive,10,10,299,299,0.9230769230769231,0.07692307692307687
Score 1,structural,aggressive,10,15,299,299,0.0033444816053511705,0.9966555183946488
Score 1,structural,aggressive,10,20,299,299,0.0,1.0
Score 1,structural,aggressive,10,30,299,299,0.0,1.0
Score 1,structural,aggressive,10,40,299,299,0.0,1.0
Score 1,structural,aggressive,10,50,299,299,0.0,1.0
Score 1,structural,aggressive,10,70,299,299,0.0,1.0
Score 1,structural,aggressive,10,94,299,299,0.0,1.0
Score 1,structural,stealthy,10,1,299,299,0.9364548494983278,0.0635451505016722
Score 1,structural,stealthy,10,2,299,299,0.9364548494983278,0.0635451505016722
Score 1,structural,stealthy,10,3,299,299,0.9364548494983278,0.0635451505016722
Score 1,structural,stealthy,10,5,299,299,0.9364548494983278,0.0635451505016722
Score 1,structural,stealthy,10,10,299,299,0.9364548494983278,0.0635451505016722
Score 1,structural,stealthy,10,15,299,299,0.568561872909699,0.43143812709030105
Score 1,structural,stealthy,10,20,299,299,0.5351170568561873,0.46488294314381273
Score 1,structural,stealthy,10,30,299,299,0.3712374581939799,0.6287625418060201
Score 1,structural,stealthy,10,40,299,299,0.3010033444816054,0.6989966555183946
Score 1,structural,stealthy,10,50,299,299,0.06020066889632107,0.939799331103679
Score 1,structural,stealthy,10,70,299,299,0.023411371237458192,0.9765886287625418
Score 1,structural,stealthy,10,94,299,299,0.0,1.0
Score 1,noisy,aggressive,10,1,299,299,0.9464882943143813,0.05351170568561869
Score 1,noisy,aggressive,10,2,299,299,0.9464882943143813,0.05351170568561869
Score 1,noisy,aggressive,10,3,299,299,0.9464882943143813,0.05351170568561869
Score 1,noisy,aggressive,10,5,299,299,0.9464882943143813,0.05351170568561869
Score 1,noisy,aggressive,10,10,299,299,0.8662207357859532,0.13377926421404684
Score 1,noisy,aggressive,10,15,299,299,0.04013377926421405,0.959866220735786
Score 1,noisy,aggressive,10,20,299,299,0.033444816053511704,0.9665551839464883
Score 1,noisy,aggressive,10,30,299,299,0.006688963210702341,0.9933110367892977
Score 1,noisy,aggressive,10,40,299,299,0.0033444816053511705,0.9966555183946488
Score 1,noisy,aggressive,10,50,299,299,0.0,1.0
Score 1,noisy,aggressive,10,70,299,299,0.0,1.0
Score 1,noisy,aggressive,10,94,299,299,0.0,1.0
Score 1,noisy,stealthy,10,1,299,243,0.934156378600823,0.06584362139917699
Score 1,noisy,stealthy,10,2,299,243,0.934156378600823,0.06584362139917699
Score 1,noisy,stealthy,10,3,299,243,0.934156378600823,0.06584362139917699
Score 1,noisy,stealthy,10,5,299,243,0.934156378600823,0.06584362139917699
Score 1,noisy,stealthy,10,10,299,243,0.9176954732510288,0.08230452674897115
Score 1,noisy,stealthy,10,15,299,243,0.654320987654321,0.345679012345679
Score 1,noisy,stealthy,10,20,299,243,0.6831275720164609,0.3168724279835391
Score 1,noisy,stealthy,10,30,299,243,0.5802469135802469,0.41975308641975306
Score 1,noisy,stealthy,10,40,299,243,0.5061728395061729,0.49382716049382713
Score 1,noisy,stealthy,10,50,299,243,0.4156378600823045,0.5843621399176955
Score 1,noisy,stealthy,10,70,299,243,0.3333333333333333,0.6666666666666667
Score 1,noisy,stealthy,10,94,299,243,0.0,1.0
Score 1,structural,aggressive,20,1,599,599,0.9549248747913188,0.04507512520868118
Score 1,structural,aggressive,20,2,599,599,0.9549248747913188,0.04507512520868118
Score 1,structural,aggressive,20,3,599,599,0.9549248747913188,0.04507512520868118
Score 1,structural,aggressive,20,5,599,599,0.9549248747913188,0.04507512520868118
Score 1,structural,aggressive,20,10,599,599,0.9432387312186978,0.056761268781302165
Score 1,structural,aggressive,20,15,599,599,0.001669449081803005,0.998330550918197
Score 1,structural,aggressive,20,20,599,599,0.0,1.0
Score 1,structural,aggressive,20,30,599,599,0.0,1.0
Score 1,structural,aggressive,20,40,599,599,0.0,1.0
Score 1,structural,aggressive,20,50,599,599,0.0,1.0
Score 1,structural,aggressive,20,70,599,599,0.0,1.0
Score 1,structural,aggressive,20,94,599,599,0.0,1.0
Score 1,structural,stealthy,20,1,599,599,0.9549248747913188,0.04507512520868118
Score 1,structural,stealthy,20,2,599,599,0.9549248747913188,0.04507512520868118
Score 1,structural,stealthy,20,3,599,599,0.9549248747913188,0.04507512520868118
Score 1,structural,stealthy,20,5,599,599,0.9549248747913188,0.04507512520868118
Score 1,structural,stealthy,20,10,599,599,0.9549248747913188,0.04507512520868118
Score 1,structural,stealthy,20,15,599,599,0.6327212020033389,0.3672787979966611
Score 1,structural,stealthy,20,20,599,599,0.6093489148580968,0.39065108514190316
Score 1,structural,stealthy,20,30,599,599,0.4524207011686144,0.5475792988313857
Score 1,structural,stealthy,20,40,599,599,0.3622704507512521,0.6377295492487479
Score 1,structural,stealthy,20,50,599,599,0.1335559265442404,0.8664440734557596
Score 1,structural,stealthy,20,70,599,599,0.05008347245409015,0.9499165275459098
Score 1,structural,stealthy,20,94,599,599,0.0,1.0
Score 1,noisy,aggressive,20,1,599,599,0.9666110183639399,0.03338898163606008
Score 1,noisy,aggressive,20,2,599,599,0.9666110183639399,0.03338898163606008
Score 1,noisy,aggressive,20,3,599,599,0.9666110183639399,0.03338898163606008
Score 1,noisy,aggressive,20,5,599,599,0.9649415692821369,0.035058430717863076
Score 1,noisy,aggressive,20,10,599,599,0.8664440734557596,0.13355592654424042
Score 1,noisy,aggressive,20,15,599,599,0.02003338898163606,0.9799666110183639
Score 1,noisy,aggressive,20,20,599,599,0.01669449081803005,0.9833055091819699
Score 1,noisy,aggressive,20,30,599,599,0.00333889816360601,0.996661101836394
Score 1,noisy,aggressive,20,40,599,599,0.001669449081803005,0.998330550918197
Score 1,noisy,aggressive,20,50,599,599,0.0,1.0
Score 1,noisy,aggressive,20,70,599,599,0.0,1.0
Score 1,noisy,aggressive,20,94,599,599,0.0,1.0
Score 1,noisy,stealthy,20,1,599,529,0.9621928166351607,0.03780718336483935
Score 1,noisy,stealthy,20,2,599,529,0.9621928166351607,0.03780718336483935
Score 1,noisy,stealthy,20,3,599,529,0.9621928166351607,0.03780718336483935
Score 1,noisy,stealthy,20,5,599,529,0.9640831758034026,0.03591682419659736
Score 1,noisy,stealthy,20,10,599,529,0.947069943289225,0.052930056710775
Score 1,noisy,stealthy,20,15,599,529,0.6616257088846881,0.3383742911153119
Score 1,noisy,stealthy,20,20,599,529,0.6805293005671077,0.3194706994328923
Score 1,noisy,stealthy,20,30,599,529,0.5784499054820416,0.42155009451795844
Score 1,noisy,stealthy,20,40,599,529,0.504725897920605,0.49527410207939504
Score 1,noisy,stealthy,20,50,599,529,0.3856332703213611,0.6143667296786389
Score 1,noisy,stealthy,20,70,599,529,0.29111531190926276,0.7088846880907372
Score 1,noisy,stealthy,20,94,599,529,0.0,1.0
Score 1,structural,aggressive,30,1,899,899,0.9655172413793104,0.03448275862068961
Score 1,structural,aggressive,30,2,899,899,0.9655172413793104,0.03448275862068961
Score 1,structural,aggressive,30,3,899,899,0.9655172413793104,0.03448275862068961
Score 1,structural,aggressive,30,5,899,899,0.9655172413793104,0.03448275862068961
Score 1,structural,aggressive,30,10,899,899,0.9488320355951056,0.05116796440489435
Score 1,structural,aggressive,30,15,899,899,0.0011123470522803114,0.9988876529477196
Score 1,structural,aggressive,30,20,899,899,0.0,1.0
Score 1,structural,aggressive,30,30,899,899,0.0,1.0
Score 1,structural,aggressive,30,40,899,899,0.0,1.0
Score 1,structural,aggressive,30,50,899,899,0.0,1.0
Score 1,structural,aggressive,30,70,899,899,0.0,1.0
Score 1,structural,aggressive,30,94,899,899,0.0,1.0
Score 1,structural,stealthy,30,1,899,899,0.9655172413793104,0.03448275862068961
Score 1,structural,stealthy,30,2,899,899,0.9655172413793104,0.03448275862068961
