test_idx,true_label,regime,score1_rank,score1_value,score2_value,orig_pred,orig_confidence,adv_pred,adv_confidence_orig_class,success,l2_norm,weighted_l2_norm,confidence_drop
1,1,aggressive,655,0.02122264914214611,0.16200989484786987,1,0.8479834794998169,0,5.730471219073108e-12,1,1.772749662399292,0.1868620865726291,0.8479834794940865
2,1,aggressive,1565,0.014858217909932137,0.04517287760972977,1,0.5252052545547485,0,8.488923453064956e-10,1,1.3640059232711792,0.1353626863006897,0.5252052537058562
3,1,aggressive,943,0.01696224883198738,0.07592074573040009,1,0.9453752636909485,0,0.0004365671775303781,1,0.46860137581825256,0.047881201429811934,0.9449386965134181
4,0,aggressive,2162,0.015477582812309265,0.020484447479248047,0,0.8021721839904785,1,1.106623358282377e-06,1,1.9500380754470825,0.31041335787534324,0.8021710773671202
5,0,aggressive,942,0.017332034185528755,0.0920906588435173,0,0.9875990152359009,1,8.195800182875246e-05,1,1.3311563730239868,0.20588263882228297,0.9875170572340721
6,0,aggressive,2228,0.02205187827348709,0.04672807455062866,0,0.7978090047836304,1,1.7529869182908442e-06,1,1.907650351524353,0.3040172618481803,0.7978072517967121
7,0,aggressive,422,0.02796856313943863,0.08247166872024536,0,0.9864860773086548,1,2.837262218235992e-05,1,1.5157132148742676,0.23102002126809792,0.9864577046864724
8,1,aggressive,1150,0.01534361857920885,0.05237245559692383,1,0.6164379715919495,0,6.284230080755293e-11,1,1.6003918647766113,0.16101124139365164,0.6164379715291072
9,1,aggressive,1596,0.01376800425350666,0.04731948673725128,1,0.6744924783706665,0,4.844001935677689e-12,1,1.800524115562439,0.18217319030631687,0.6744924783658225
10,1,aggressive,1427,0.014626316726207733,0.05580524727702141,1,0.7569533586502075,0,8.449769204645075e-13,1,1.9629236459732056,0.20154387340471172,0.7569533586493625
11,0,aggressive,672,0.01980750821530819,0.09480785578489304,0,0.9642243385314941,1,9.793626531973132e-07,1,2.0263171195983887,0.32237766376266513,0.9642233591688409
12,0,aggressive,225,0.04689391329884529,0.08319628238677979,0,0.7197901606559753,1,4.286753210180905e-06,1,1.7014226913452148,0.2673859197793692,0.7197858739027652
13,1,aggressive,1264,0.013964029960334301,0.055815692991018295,1,0.869231641292572,0,2.1376319381261055e-08,1,1.1691824197769165,0.1206497157020136,0.8692316199162526
14,1,aggressive,1380,0.014253916218876839,0.05568479746580124,1,0.8979371786117554,0,0.00042221639887429774,1,0.46266672015190125,0.04652903990446964,0.8975149622128811
15,0,aggressive,2073,0.013563222251832485,0.02877117320895195,0,0.9105908870697021,1,2.6587693469082296e-07,1,2.2108969688415527,0.35432580370749883,0.9105906211927675
17,0,aggressive,2021,0.012592208571732044,0.03860284388065338,0,0.9284688234329224,1,1.5222929050651146e-07,1,2.2921745777130127,0.368798448051192,0.9284686712036319
18,0,aggressive,344,0.030202794820070267,0.1559450775384903,0,0.9983096122741699,1,0.0010820630704984069,1,1.0557937622070312,0.1515111100871117,0.9972275492036715
19,0,aggressive,1283,0.01411509420722723,0.03318148851394653,0,0.9877909421920776,1,7.345377071032999e-06,1,1.6661748886108398,0.26019561956063597,0.9877835968150066
20,0,aggressive,1944,0.012965542264282703,0.029603678733110428,0,0.9288631677627563,1,1.3300562784479553e-07,1,2.289893388748169,0.36934294524948197,0.9288630347571285
21,0,aggressive,1122,0.015301591716706753,0.06340663880109787,0,0.8148181438446045,1,6.179658385008224e-07,1,1.9965407848358154,0.3168200312379604,0.814817525878766
22,1,aggressive,1002,0.01646631769835949,0.0793587788939476,1,0.7756404876708984,0,7.440358008523051e-13,1,1.9602612257003784,0.1994404530998246,0.7756404876701544
23,0,aggressive,1135,0.016816485673189163,0.09013337641954422,0,0.8355323672294617,1,4.540722216006543e-07,1,2.055880069732666,0.32773291064186383,0.8355319131572401
24,1,aggressive,1214,0.0155568215996027,0.06020481884479523,1,0.8858524560928345,0,2.9884699870308395e-06,1,0.7619096040725708,0.07787986778575502,0.8858494676228474
25,0,aggressive,2074,0.01305819395929575,0.01778283715248108,0,0.8796936273574829,1,2.807941541504988e-07,1,2.177349090576172,0.3492204207144702,0.8796933465633288
26,1,aggressive,575,0.020888686180114746,0.13603290915489197,1,0.969054102897644,0,0.0018104470800608397,1,0.44548943638801575,0.04571490658711556,0.9672436558175832
27,0,aggressive,449,0.030464500188827515,0.08388077467679977,0,0.9147942066192627,1,5.989296028019453e-07,1,2.0570147037506104,0.3340387665570386,0.9147936076896599
28,0,aggressive,83,0.07982530444860458,0.2611972987651825,0,0.9806320667266846,1,1.9021497791982256e-05,1,1.5763700008392334,0.24031851010159822,0.9806130452288926
29,1,aggressive,1432,0.013361850753426552,0.06422321498394012,1,0.7891513705253601,0,1.5475236380974727e-13,1,2.086703062057495,0.21132139669503147,0.7891513705252053
30,0,aggressive,1167,0.014643138274550438,0.044441815465688705,0,0.6910098791122437,1,7.287304470082745e-06,1,1.6182810068130493,0.2530096483296573,0.6910025918077736
31,1,aggressive,953,0.016316134482622147,0.060448672622442245,1,0.9212756156921387,0,0.0002256313746329397,1,0.5225392580032349,0.052813841457431746,0.9210499843175057
33,0,aggressive,1786,0.018250999972224236,0.05986487865447998,0,0.8302152752876282,1,5.972036660750746e-07,1,2.0331320762634277,0.3245001958830228,0.8302146780839621
34,1,aggressive,1723,0.013274339027702808,0.03609664365649223,1,0.5057497620582581,0,2.6001805153441637e-09,1,1.3051265478134155,0.13005717038398998,0.5057497594580775
35,0,aggressive,1645,0.013977116905152798,0.03923222795128822,0,0.9141364693641663,1,2.4887043537091813e-07,1,2.1942028999328613,0.3540098836203365,0.9141362204937309
36,1,aggressive,666,0.020193055272102356,0.22113476693630219,1,0.9632447957992554,0,0.0024755275808274746,1,0.42434433102607727,0.0444560173581653,0.9607692682184279
37,1,aggressive,268,0.03382622078061104,0.19493702054023743,1,0.8901017308235168,0,0.002425802405923605,1,0.39466631412506104,0.03701850455678122,0.8876759284175932
38,0,aggressive,1867,0.012740330770611763,0.04008595645427704,0,0.9468993544578552,1,7.782811906054121e-08,1,2.3779590129852295,0.38339377149869447,0.9468992766297362
39,0,aggressive,131,0.05680830404162407,0.19663690030574799,0,0.9692056775093079,1,5.368411848394317e-07,1,2.1285603046417236,0.34056731774628296,0.969205140668123
40,0,aggressive,2185,0.018388958647847176,0.03722749650478363,0,0.8923176527023315,1,3.1517404863734555e-07,1,2.1818506717681885,0.3508344090536314,0.8923173375282829
41,0,aggressive,1655,0.013945456594228745,0.04248834028840065,0,0.7890079021453857,1,1.3193297263569548e-06,1,1.889723300933838,0.30014444943682844,0.7890065828156594
42,0,aggressive,926,0.016892826184630394,0.04257115721702576,0,0.9900187253952026,1,0.00010191875480813906,1,1.2898800373077393,0.19720607256482167,0.9899168066403945
43,0,aggressive,1793,0.0129355788230896,0.026819132268428802,0,0.7186410427093506,1,5.296664767229231e-06,1,1.6823891401290894,0.26501981693689963,0.7186357460445834
44,0,aggressive,2136,0.015045699663460255,0.0696963518857956,0,0.8526917099952698,1,6.14731220593967e-07,1,2.068255662918091,0.33131920740140447,0.8526910952640492
45,0,aggressive,637,0.020505422726273537,0.06752753257751465,0,0.9904629588127136,1,4.36841874034144e-05,1,1.3935233354568481,0.21179640451210222,0.9904192746253102
46,0,aggressive,1148,0.015295621007680893,0.07506544888019562,0,0.9752637147903442,1,3.063217093313142e-07,1,2.191681385040283,0.3501614426568617,0.9752634084686349
47,1,aggressive,1388,0.0132626723498106,0.0417870432138443,1,0.7753475308418274,0,1.0521218499291024e-13,1,2.097074508666992,0.2153285748524448,0.7753475308417221
48,1,aggressive,1003,0.01755773276090622,0.06251637637615204,1,0.8821604251861572,0,0.00027700752252712846,1,0.5025327801704407,0.04880918744430789,0.8818834176636301
49,0,aggressive,546,0.022573521360754967,0.07992707192897797,0,0.7536723017692566,1,3.1751076221553376e-06,1,1.7578637599945068,0.27641920977652945,0.7536691266616344
50,0,aggressive,877,0.01767290011048317,0.1307683140039444,0,0.9500895738601685,1,1.1361849772129062e-07,1,2.315155029296875,0.3715631394403608,0.9500894602416707
51,0,aggressive,465,0.026004735380411148,0.15253110229969025,0,0.997421145439148,1,0.0010045282542705536,1,1.0412530899047852,0.15066690421390555,0.9964166171848774
52,0,aggressive,2067,0.01368199847638607,0.05416654050350189,0,0.884121835231781,1,2.2815234501649684e-07,1,2.191896438598633,0.3517764213106808,0.884121607079436
53,0,aggressive,2224,0.019692325964570045,0.01612888090312481,0,0.8181632161140442,1,9.524673032501596e-07,1,1.995812177658081,0.3183896816330454,0.8181622636467409
54,0,aggressive,1962,0.014790902845561504,0.032809339463710785,0,0.8406139612197876,1,6.262933993639308e-07,1,2.0325870513916016,0.32524572671709634,0.8406133349263882
55,0,aggressive,2255,0.00019231362966820598,0.00033036721288226545,0,0.8297246098518372,1,1.0146339946004446e-06,1,1.9995702505111694,0.3197979621281616,0.8297235952178426
56,0,aggressive,933,0.01712522841989994,0.07782159000635147,0,0.8640091419219971,1,2.969561307963886e-07,1,2.109098196029663,0.3370370655860688,0.8640088449658663
57,0,aggressive,973,0.015865029767155647,0.097151979804039,0,0.9554231762886047,1,4.29913512789426e-07,1,2.1084887981414795,0.3358257539455437,0.955422746375092
58,0,aggressive,2046,0.01268114522099495,0.03605027124285698,0,0.8426473140716553,1,7.116094025150232e-07,1,2.0427777767181396,0.32630833933273834,0.8426466024622528
59,1,aggressive,1321,0.014866456389427185,0.0476599745452404,1,0.9026555418968201,0,4.6249315346358344e-05,1,0.5998312830924988,0.061488820071772504,0.9026092925814737
60,0,aggressive,299,0.030038341879844666,0.22299689054489136,0,0.9809446334838867,1,8.893544872989878e-05,1,1.3690922260284424,0.20739654236387323,0.9808556980351568
61,1,aggressive,864,0.01836240105330944,0.07677379250526428,1,0.9286728501319885,0,0.0004914721357636154,1,0.4817773103713989,0.04792838560017546,0.9281813779962249
62,1,aggressive,1376,0.01314359437674284,0.10595844686031342,1,0.6382874250411987,0,2.044698091396846e-11,1,1.6952052116394043,0.170058841309522,0.6382874250207518
63,1,aggressive,965,0.016063524410128593,0.11743859201669693,1,0.551846981048584,0,5.522278190284169e-10,1,1.4125995635986328,0.1411154066025269,0.5518469804963562
64,0,aggressive,1766,0.0155928460881114,0.06955734640359879,0,0.9292353391647339,1,2.63101355812978e-07,1,2.2158164978027344,0.3563173144057541,0.9292350760633781
65,1,aggressive,685,0.019471898674964905,0.12050166726112366,1,0.7266613841056824,0,2.2766432836163197e-12,1,1.8871779441833496,0.19543024829657255,0.7266613841034057
67,0,aggressive,1364,0.013329295441508293,0.06569456309080124,0,0.8957577347755432,1,2.853455214335554e-07,1,2.1989924907684326,0.35251732815692854,0.8957574494300218
68,1,aggressive,597,0.02055680938065052,0.12004591524600983,1,0.9560108184814453,0,0.0005987783661112189,1,0.5120569467544556,0.05107671130164041,0.9554120401153341
69,0,aggressive,2095,0.014320649206638336,0.02841949835419655,0,0.8505719900131226,1,5.723267690882494e-07,1,2.0648717880249023,0.33013938047514885,0.8505714176863535
70,1,aggressive,2034,0.013213016092777252,0.022097134962677956,1,0.5862538814544678,0,2.5666629932530327e-10,1,1.4961506128311157,0.14878550773333674,0.5862538811978015
71,0,aggressive,2279,4.1114864870905876e-05,7.063787779770792e-05,0,0.8309364318847656,1,9.939491292243474e-07,1,2.0030622482299805,0.32039767929107266,0.8309354379356364
72,0,aggressive,543,0.02264283038675785,0.06799891591072083,0,0.9990873336791992,1,0.002217987785115838,1,0.9311608672142029,0.1320839992996508,0.9968693458940834
73,0,aggressive,574,0.021783117204904556,0.2292073667049408,0,0.900846004486084,1,1.8831072168268292e-07,1,2.210665464401245,0.3548900788983293,0.9008458161753623
75,0,aggressive,1694,0.013119205832481384,0.06600429862737656,0,0.7570804357528687,1,2.5955273486033548e-06,1,1.8155372142791748,0.28754660807386623,0.75707784022552
76,1,aggressive,1301,0.013630954548716545,0.04094040021300316,1,0.8844223618507385,0,1.921316288644448e-05,1,0.6307572722434998,0.06284112132544657,0.8844031486878521
77,1,aggressive,652,0.022033201530575752,0.16261133551597595,1,0.8541492819786072,0,1.0616929557727417e-10,1,1.546767234802246,0.16521863998032846,0.8541492818724379
78,1,aggressive,615,0.019900139421224594,0.061036255210638046,1,0.7624371647834778,0,8.430777777290732e-12,1,1.8232171535491943,0.1872862214049642,0.762437164775047
79,1,aggressive,176,0.056282319128513336,0.1518276035785675,1,0.880181610584259,0,0.00018207677931059152,1,0.5286580920219421,0.050456944180966565,0.8799995338049484
80,1,aggressive,1340,0.01370071992278099,0.06329108774662018,1,0.5731382966041565,0,3.8310624117521286e-10,1,1.4693204164505005,0.1459485419087706,0.5731382962210503
81,0,aggressive,636,0.019832324236631393,0.06797821074724197,0,0.9591197371482849,1,6.806180152807428e-08,1,2.384441614151001,0.3844600417457743,0.9591196690864834
82,0,aggressive,1881,0.01370697095990181,0.05011001229286194,0,0.8892428278923035,1,3.06112895032129e-07,1,2.1722939014434814,0.3493176510194083,0.8892425217794084
83,0,aggressive,763,0.01905285008251667,0.041220977902412415,0,0.9848095774650574,1,1.8545484635978937e-05,1,1.5675512552261353,0.24045349877265196,0.9847910319804214
84,0,aggressive,1676,0.014037441462278366,0.03793223947286606,0,0.9099119901657104,1,1.0356631463537269e-07,1,2.273582935333252,0.36542685788796,0.9099118865993958
85,0,aggressive,438,0.028375856578350067,0.08186835050582886,0,0.99933260679245,1,0.001392108853906393,1,1.0196315050125122,0.14254932649896632,0.9979404979385436
86,1,aggressive,1338,0.013843768276274204,0.0434214249253273,1,0.8940847516059875,0,3.408463817322627e-05,1,0.6190328598022461,0.06325703200227283,0.8940506669678143
87,1,aggressive,569,0.021145589649677277,0.10143200308084488,1,0.9066860675811768,0,9.981505172618199e-06,1,0.6808575391769409,0.06737633844544849,0.9066760860760041
88,1,aggressive,1050,0.01632697507739067,0.054691992700099945,1,0.944996178150177,0,0.0007409595418721437,1,0.4506944417953491,0.04716421881252623,0.9442552186083049
89,1,aggressive,221,0.04099156707525253,0.22148019075393677,1,0.8541815876960754,0,0.00017790484707802534,1,0.5749444365501404,0.05446347925950618,0.8540036828489974
90,0,aggressive,2049,0.013240803964436054,0.018744949251413345,0,0.721089780330658,1,5.8143828027823474e-06,1,1.6873739957809448,0.26621156296800025,0.7210839659478552
91,1,aggressive,535,0.024268656969070435,0.0810958594083786,1,0.9381596446037292,0,0.0028505681548267603,1,0.4005154073238373,0.0394482513023652,0.9353090764489025
92,1,aggressive,1188,0.01546513568609953,0.07258737832307816,1,0.7977510094642639,0,9.321603683170795e-14,1,2.1256330013275146,0.21691881905062335,0.7977510094641707
93,1,aggressive,409,0.02803906239569187,0.09247040003538132,1,0.9385883212089539,0,0.00031231611501425505,1,0.46638333797454834,0.04730304547680988,0.9382760050939396
94,1,aggressive,1352,0.013962512835860252,0.05815243721008301,1,0.8633586168289185,0,2.946342476661812e-07,1,0.9421498775482178,0.10217660116808382,0.8633583221946708
95,0,aggressive,1649,0.013669251464307308,0.05237583443522453,0,0.7627815008163452,1,1.9584854271670338e-06,1,1.8328620195388794,0.29043526231478645,0.762779542330918
96,1,aggressive,1316,0.013904373161494732,0.05912875756621361,1,0.806079089641571,0,4.0591082605583376e-14,1,2.18752384185791,0.22152631964004252,0.8060790896415304
97,0,aggressive,1094,0.015977678820490837,0.0634484738111496,0,0.9849720597267151,1,0.0001892500149551779,1,1.2450968027114868,0.18983862222832257,0.9847828097117599
98,1,aggressive,1178,0.014655742794275284,0.061631593853235245,1,0.6996190547943115,0,1.917692567243723e-12,1,1.8788708448410034,0.19145304039840996,0.6996190547923938
99,0,aggressive,1872,0.014077438041567802,0.053617775440216064,0,0.875064492225647,1,4.063730614234373e-07,1,2.132063627243042,0.3423543302688075,0.8750640858525855
100,0,aggressive,1969,0.013267258182168007,0.02809709869325161,0,0.8039624094963074,1,8.186988793568162e-07,1,1.959828495979309,0.31152789042008017,0.803961590797428
101,0,aggressive,1292,0.014105540700256824,0.06554846465587616,0,0.9687091112136841,1,5.754722209871943e-08,1,2.41963791847229,0.39039810378251916,0.968709053666462
102,0,aggressive,72,0.08413964509963989,0.2611972689628601,0,0.9806320667266846,1,1.9021497791982256e-05,1,1.5763700008392334,0.24031851010159822,0.9806130452288926
103,1,aggressive,567,0.02141733281314373,0.08098901808261871,1,0.9362112283706665,0,0.00018726850976236165,1,0.5320650935173035,0.05353965517258991,0.9360239598609041
104,0,aggressive,1972,0.014337231405079365,0.05626296624541283,0,0.8230944275856018,1,6.723101932948339e-07,1,2.0124504566192627,0.3211302808730929,0.8230937552754085
105,0,aggressive,1401,0.013462219387292862,0.07782389223575592,0,0.8087949752807617,1,8.248280778389017e-07,1,1.956040620803833,0.31169234458096456,0.8087941504526839
