score_type,tier,regime,attack_pct,k,n_targeted,n_attacked,restoration_rate,asr_after
Score 1,structural,aggressive,10,1,205,205,0.014634146341463415,0.9853658536585366
Score 1,structural,aggressive,10,2,205,205,0.0,1.0
Score 1,structural,aggressive,10,3,205,205,0.0,1.0
Score 1,structural,aggressive,10,5,205,205,0.0,1.0
Score 1,structural,aggressive,10,10,205,205,0.0,1.0
Score 1,structural,aggressive,10,15,205,205,0.0,1.0
Score 1,structural,aggressive,10,20,205,205,0.0,1.0
Score 1,structural,aggressive,10,30,205,205,0.0,1.0
Score 1,structural,aggressive,10,40,205,205,0.0,1.0
Score 1,structural,aggressive,10,50,205,205,0.0,1.0
Score 1,structural,aggressive,10,57,205,205,0.0,1.0
Score 1,structural,stealthy,10,1,205,62,0.04838709677419355,0.9516129032258065
Score 1,structural,stealthy,10,2,205,62,0.0,1.0
Score 1,structural,stealthy,10,3,205,62,0.0,1.0
Score 1,structural,stealthy,10,5,205,62,0.0,1.0
Score 1,structural,stealthy,10,10,205,62,0.0,1.0
Score 1,structural,stealthy,10,15,205,62,0.04838709677419355,0.9516129032258065
Score 1,structural,stealthy,10,20,205,62,0.03225806451612903,0.967741935483871
Score 1,structural,stealthy,10,30,205,62,0.0,1.0
Score 1,structural,stealthy,10,40,205,62,0.0,1.0
Score 1,structural,stealthy,10,50,205,62,0.0,1.0
Score 1,structural,stealthy,10,57,205,62,0.0,1.0
Score 1,noisy,aggressive,10,1,205,205,0.2048780487804878,0.7951219512195122
Score 1,noisy,aggressive,10,2,205,205,0.07317073170731707,0.926829268292683
Score 1,noisy,aggressive,10,3,205,205,0.04390243902439024,0.9560975609756097
Score 1,noisy,aggressive,10,5,205,205,0.04390243902439024,0.9560975609756097
Score 1,noisy,aggressive,10,10,205,205,0.05853658536585366,0.9414634146341463
Score 1,noisy,aggressive,10,15,205,205,0.05853658536585366,0.9414634146341463
Score 1,noisy,aggressive,10,20,205,205,0.05853658536585366,0.9414634146341463
Score 1,noisy,aggressive,10,30,205,205,0.01951219512195122,0.9804878048780488
Score 1,noisy,aggressive,10,40,205,205,0.004878048780487805,0.9951219512195122
Score 1,noisy,aggressive,10,50,205,205,0.0,1.0
Score 1,noisy,aggressive,10,57,205,205,0.0,1.0
Score 1,noisy,stealthy,10,1,205,171,0.40350877192982454,0.5964912280701755
Score 1,noisy,stealthy,10,2,205,171,0.4327485380116959,0.5672514619883041
Score 1,noisy,stealthy,10,3,205,171,0.4152046783625731,0.5847953216374269
Score 1,noisy,stealthy,10,5,205,171,0.4444444444444444,0.5555555555555556
Score 1,noisy,stealthy,10,10,205,171,0.3391812865497076,0.6608187134502924
Score 1,noisy,stealthy,10,15,205,171,0.42105263157894735,0.5789473684210527
Score 1,noisy,stealthy,10,20,205,171,0.42105263157894735,0.5789473684210527
Score 1,noisy,stealthy,10,30,205,171,0.5555555555555556,0.4444444444444444
Score 1,noisy,stealthy,10,40,205,171,0.5906432748538012,0.4093567251461988
Score 1,noisy,stealthy,10,50,205,171,0.3216374269005848,0.6783625730994152
Score 1,noisy,stealthy,10,57,205,171,0.0,1.0
Score 1,structural,aggressive,20,1,411,411,0.046228710462287104,0.9537712895377128
Score 1,structural,aggressive,20,2,411,411,0.0,1.0
Score 1,structural,aggressive,20,3,411,411,0.0,1.0
Score 1,structural,aggressive,20,5,411,411,0.0,1.0
Score 1,structural,aggressive,20,10,411,411,0.0,1.0
Score 1,structural,aggressive,20,15,411,411,0.0,1.0
Score 1,structural,aggressive,20,20,411,411,0.0,1.0
Score 1,structural,aggressive,20,30,411,411,0.0,1.0
Score 1,structural,aggressive,20,40,411,411,0.0,1.0
Score 1,structural,aggressive,20,50,411,411,0.0,1.0
Score 1,structural,aggressive,20,57,411,411,0.0,1.0
Score 1,structural,stealthy,20,1,411,173,0.12138728323699421,0.8786127167630058
Score 1,structural,stealthy,20,2,411,173,0.03468208092485549,0.9653179190751445
Score 1,structural,stealthy,20,3,411,173,0.005780346820809248,0.9942196531791907
Score 1,structural,stealthy,20,5,411,173,0.005780346820809248,0.9942196531791907
Score 1,structural,stealthy,20,10,411,173,0.0,1.0
Score 1,structural,stealthy,20,15,411,173,0.04046242774566474,0.9595375722543352
Score 1,structural,stealthy,20,20,411,173,0.05202312138728324,0.9479768786127167
Score 1,structural,stealthy,20,30,411,173,0.0,1.0
