score_type,tier,regime,attack_pct,k,n_targeted,n_attacked,restoration_rate,asr_after
Score 1,structural,aggressive,10,1,206,206,0.019417475728155338,0.9805825242718447
Score 1,structural,aggressive,10,2,206,206,0.0,1.0
Score 1,structural,aggressive,10,3,206,206,0.0,1.0
Score 1,structural,aggressive,10,5,206,206,0.0,1.0
Score 1,structural,aggressive,10,10,206,206,0.0,1.0
Score 1,structural,aggressive,10,15,206,206,0.0,1.0
Score 1,structural,aggressive,10,20,206,206,0.0,1.0
Score 1,structural,aggressive,10,30,206,206,0.0,1.0
Score 1,structural,aggressive,10,40,206,206,0.0,1.0
Score 1,structural,aggressive,10,50,206,206,0.0,1.0
Score 1,structural,aggressive,10,57,206,206,0.0,1.0
Score 1,structural,stealthy,10,1,206,206,0.1796116504854369,0.8203883495145631
Score 1,structural,stealthy,10,2,206,206,0.1941747572815534,0.8058252427184466
Score 1,structural,stealthy,10,3,206,206,0.1796116504854369,0.8203883495145631
Score 1,structural,stealthy,10,5,206,206,0.1796116504854369,0.8203883495145631
Score 1,structural,stealthy,10,10,206,206,0.1796116504854369,0.8203883495145631
Score 1,structural,stealthy,10,15,206,206,0.1796116504854369,0.8203883495145631
Score 1,structural,stealthy,10,20,206,206,0.1796116504854369,0.8203883495145631
Score 1,structural,stealthy,10,30,206,206,0.1796116504854369,0.8203883495145631
Score 1,structural,stealthy,10,40,206,206,0.13592233009708737,0.8640776699029127
Score 1,structural,stealthy,10,50,206,206,0.024271844660194174,0.9757281553398058
Score 1,structural,stealthy,10,57,206,206,0.0,1.0
Score 1,noisy,aggressive,10,1,206,206,0.1650485436893204,0.8349514563106796
Score 1,noisy,aggressive,10,2,206,206,0.12135922330097088,0.8786407766990292
Score 1,noisy,aggressive,10,3,206,206,0.1553398058252427,0.8446601941747574
Score 1,noisy,aggressive,10,5,206,206,0.13592233009708737,0.8640776699029127
Score 1,noisy,aggressive,10,10,206,206,0.0825242718446602,0.9174757281553398
Score 1,noisy,aggressive,10,15,206,206,0.07766990291262135,0.9223300970873787
Score 1,noisy,aggressive,10,20,206,206,0.0825242718446602,0.9174757281553398
Score 1,noisy,aggressive,10,30,206,206,0.06310679611650485,0.9368932038834952
Score 1,noisy,aggressive,10,40,206,206,0.019417475728155338,0.9805825242718447
Score 1,noisy,aggressive,10,50,206,206,0.014563106796116505,0.9854368932038835
Score 1,noisy,aggressive,10,57,206,206,0.0,1.0
Score 1,noisy,stealthy,10,1,206,190,0.33157894736842103,0.668421052631579
Score 1,noisy,stealthy,10,2,206,190,0.3631578947368421,0.6368421052631579
Score 1,noisy,stealthy,10,3,206,190,0.4052631578947368,0.5947368421052632
Score 1,noisy,stealthy,10,5,206,190,0.11578947368421053,0.8842105263157894
Score 1,noisy,stealthy,10,10,206,190,0.1631578947368421,0.8368421052631578
Score 1,noisy,stealthy,10,15,206,190,0.21578947368421053,0.7842105263157895
Score 1,noisy,stealthy,10,20,206,190,0.2789473684210526,0.7210526315789474
Score 1,noisy,stealthy,10,30,206,190,0.3473684210526316,0.6526315789473685
