score_type,tier,regime,attack_pct,k,n_targeted,n_attacked,restoration_rate,asr_after
Score 1,structural,aggressive,10,1,206,206,0.0,1.0
Score 1,structural,aggressive,10,2,206,206,0.0,1.0
Score 1,structural,aggressive,10,3,206,206,0.0,1.0
Score 1,structural,aggressive,10,5,206,206,0.0,1.0
Score 1,structural,aggressive,10,10,206,206,0.0,1.0
Score 1,structural,aggressive,10,15,206,206,0.0,1.0
Score 1,structural,aggressive,10,20,206,206,0.0,1.0
Score 1,structural,aggressive,10,30,206,206,0.0,1.0
Score 1,structural,aggressive,10,40,206,206,0.0,1.0
Score 1,structural,aggressive,10,50,206,206,0.0,1.0
Score 1,structural,aggressive,10,57,206,206,0.0,1.0
Score 1,structural,stealthy,10,1,206,206,0.1796116504854369,0.8203883495145631
Score 1,structural,stealthy,10,2,206,206,0.1796116504854369,0.8203883495145631
Score 1,structural,stealthy,10,3,206,206,0.1796116504854369,0.8203883495145631
Score 1,structural,stealthy,10,5,206,206,0.1796116504854369,0.8203883495145631
Score 1,structural,stealthy,10,10,206,206,0.1796116504854369,0.8203883495145631
Score 1,structural,stealthy,10,15,206,206,0.1796116504854369,0.8203883495145631
Score 1,structural,stealthy,10,20,206,206,0.17475728155339806,0.8252427184466019
Score 1,structural,stealthy,10,30,206,206,0.0,1.0
Score 1,structural,stealthy,10,40,206,206,0.0,1.0
Score 1,structural,stealthy,10,50,206,206,0.0,1.0
Score 1,structural,stealthy,10,57,206,206,0.0,1.0
Score 1,noisy,aggressive,10,1,206,206,0.34951456310679613,0.6504854368932038
Score 1,noisy,aggressive,10,2,206,206,0.1941747572815534,0.8058252427184466
Score 1,noisy,aggressive,10,3,206,206,0.019417475728155338,0.9805825242718447
Score 1,noisy,aggressive,10,5,206,206,0.019417475728155338,0.9805825242718447
Score 1,noisy,aggressive,10,10,206,206,0.0,1.0
Score 1,noisy,aggressive,10,15,206,206,0.0,1.0
Score 1,noisy,aggressive,10,20,206,206,0.0,1.0
Score 1,noisy,aggressive,10,30,206,206,0.0,1.0
Score 1,noisy,aggressive,10,40,206,206,0.0,1.0
Score 1,noisy,aggressive,10,50,206,206,0.0,1.0
Score 1,noisy,aggressive,10,57,206,206,0.0,1.0
Score 1,noisy,stealthy,10,1,206,190,0.3526315789473684,0.6473684210526316
Score 1,noisy,stealthy,10,2,206,190,0.25263157894736843,0.7473684210526316
Score 1,noisy,stealthy,10,3,206,190,0.015789473684210527,0.9842105263157894
Score 1,noisy,stealthy,10,5,206,190,0.08421052631578947,0.9157894736842105
Score 1,noisy,stealthy,10,10,206,190,0.11052631578947368,0.8894736842105263
Score 1,noisy,stealthy,10,15,206,190,0.10526315789473684,0.8947368421052632
Score 1,noisy,stealthy,10,20,206,190,0.10526315789473684,0.8947368421052632
Score 1,noisy,stealthy,10,30,206,190,0.06315789473684211,0.9368421052631579
Score 1,noisy,stealthy,10,40,206,190,0.042105263157894736,0.9578947368421052
Score 1,noisy,stealthy,10,50,206,190,0.005263157894736842,0.9947368421052631
Score 1,noisy,stealthy,10,57,206,190,0.0,1.0
Score 1,structural,aggressive,20,1,413,413,0.0,1.0
Score 1,structural,aggressive,20,2,413,413,0.0,1.0
Score 1,structural,aggressive,20,3,413,413,0.0,1.0
Score 1,structural,aggressive,20,5,413,413,0.0,1.0
Score 1,structural,aggressive,20,10,413,413,0.0,1.0
Score 1,structural,aggressive,20,15,413,413,0.0,1.0
Score 1,structural,aggressive,20,20,413,413,0.0,1.0
Score 1,structural,aggressive,20,30,413,413,0.0,1.0
Score 1,structural,aggressive,20,40,413,413,0.0,1.0
Score 1,structural,aggressive,20,50,413,413,0.0,1.0
Score 1,structural,aggressive,20,57,413,413,0.0,1.0
Score 1,structural,stealthy,20,1,413,413,0.17675544794188863,0.8232445520581113
Score 1,structural,stealthy,20,2,413,413,0.17675544794188863,0.8232445520581113
Score 1,structural,stealthy,20,3,413,413,0.1937046004842615,0.8062953995157385
Score 1,structural,stealthy,20,5,413,413,0.16707021791767554,0.8329297820823245
Score 1,structural,stealthy,20,10,413,413,0.1694915254237288,0.8305084745762712
Score 1,structural,stealthy,20,15,413,413,0.1694915254237288,0.8305084745762712
Score 1,structural,stealthy,20,20,413,413,0.0,1.0
Score 1,structural,stealthy,20,30,413,413,0.0,1.0
Score 1,structural,stealthy,20,40,413,413,0.0,1.0
Score 1,structural,stealthy,20,50,413,413,0.0,1.0
Score 1,structural,stealthy,20,57,413,413,0.0,1.0
Score 1,noisy,aggressive,20,1,413,413,0.2857142857142857,0.7142857142857143
Score 1,noisy,aggressive,20,2,413,413,0.0,1.0
Score 1,noisy,aggressive,20,3,413,413,0.0,1.0
Score 1,noisy,aggressive,20,5,413,413,0.0,1.0
Score 1,noisy,aggressive,20,10,413,413,0.0,1.0
Score 1,noisy,aggressive,20,15,413,413,0.0,1.0
Score 1,noisy,aggressive,20,20,413,413,0.0,1.0
Score 1,noisy,aggressive,20,30,413,413,0.0,1.0
Score 1,noisy,aggressive,20,40,413,413,0.0,1.0
Score 1,noisy,aggressive,20,50,413,413,0.0,1.0
Score 1,noisy,aggressive,20,57,413,413,0.0,1.0
Score 1,noisy,stealthy,20,1,413,394,0.26649746192893403,0.733502538071066
Score 1,noisy,stealthy,20,2,413,394,0.13959390862944163,0.8604060913705583
Score 1,noisy,stealthy,20,3,413,394,0.015228426395939087,0.9847715736040609
Score 1,noisy,stealthy,20,5,413,394,0.0532994923857868,0.9467005076142132
Score 1,noisy,stealthy,20,10,413,394,0.05583756345177665,0.9441624365482233
Score 1,noisy,stealthy,20,15,413,394,0.06852791878172589,0.9314720812182741
Score 1,noisy,stealthy,20,20,413,394,0.050761421319796954,0.949238578680203
Score 1,noisy,stealthy,20,30,413,394,0.030456852791878174,0.9695431472081218
Score 1,noisy,stealthy,20,40,413,394,0.02284263959390863,0.9771573604060914
Score 1,noisy,stealthy,20,50,413,394,0.005076142131979695,0.9949238578680203
Score 1,noisy,stealthy,20,57,413,394,0.0,1.0
Score 1,structural,aggressive,30,1,620,620,0.0016129032258064516,0.9983870967741936
Score 1,structural,aggressive,30,2,620,620,0.0,1.0
Score 1,structural,aggressive,30,3,620,620,0.0,1.0
Score 1,structural,aggressive,30,5,620,620,0.0,1.0
Score 1,structural,aggressive,30,10,620,620,0.0,1.0
Score 1,structural,aggressive,30,15,620,620,0.0,1.0
Score 1,structural,aggressive,30,20,620,620,0.0,1.0
Score 1,structural,aggressive,30,30,620,620,0.0,1.0
Score 1,structural,aggressive,30,40,620,620,0.0,1.0
Score 1,structural,aggressive,30,50,620,620,0.0,1.0
Score 1,structural,aggressive,30,57,620,620,0.0,1.0
Score 1,structural,stealthy,30,1,620,620,0.18387096774193548,0.8161290322580645
Score 1,structural,stealthy,30,2,620,620,0.18387096774193548,0.8161290322580645
Score 1,structural,stealthy,30,3,620,620,0.18387096774193548,0.8161290322580645
Score 1,structural,stealthy,30,5,620,620,0.13225806451612904,0.8677419354838709
Score 1,structural,stealthy,30,10,620,620,0.13064516129032258,0.8693548387096774
Score 1,structural,stealthy,30,15,620,620,0.13064516129032258,0.8693548387096774
Score 1,structural,stealthy,30,20,620,620,0.0,1.0
Score 1,structural,stealthy,30,30,620,620,0.0,1.0
Score 1,structural,stealthy,30,40,620,620,0.0,1.0
Score 1,structural,stealthy,30,50,620,620,0.0,1.0
Score 1,structural,stealthy,30,57,620,620,0.0,1.0
Score 1,noisy,aggressive,30,1,620,620,0.3435483870967742,0.6564516129032258
Score 1,noisy,aggressive,30,2,620,620,0.0,1.0
Score 1,noisy,aggressive,30,3,620,620,0.0,1.0
Score 1,noisy,aggressive,30,5,620,620,0.0,1.0
Score 1,noisy,aggressive,30,10,620,620,0.0,1.0
Score 1,noisy,aggressive,30,15,620,620,0.0,1.0
Score 1,noisy,aggressive,30,20,620,620,0.0,1.0
Score 1,noisy,aggressive,30,30,620,620,0.0,1.0
Score 1,noisy,aggressive,30,40,620,620,0.0,1.0
Score 1,noisy,aggressive,30,50,620,620,0.0,1.0
Score 1,noisy,aggressive,30,57,620,620,0.0,1.0
Score 1,noisy,stealthy,30,1,620,599,0.330550918196995,0.669449081803005
Score 1,noisy,stealthy,30,2,620,599,0.06176961602671119,0.9382303839732888
Score 1,noisy,stealthy,30,3,620,599,0.02337228714524207,0.9766277128547579
Score 1,noisy,stealthy,30,5,620,599,0.028380634390651086,0.9716193656093489
Score 1,noisy,stealthy,30,10,620,599,0.045075125208681135,0.9549248747913188
Score 1,noisy,stealthy,30,15,620,599,0.05175292153589316,0.9482470784641068
Score 1,noisy,stealthy,30,20,620,599,0.04006677796327212,0.9599332220367279
Score 1,noisy,stealthy,30,30,620,599,0.03005008347245409,0.9699499165275459
Score 1,noisy,stealthy,30,40,620,599,0.01669449081803005,0.9833055091819699
Score 1,noisy,stealthy,30,50,620,599,0.00667779632721202,0.993322203672788
Score 1,noisy,stealthy,30,57,620,599,0.0,1.0
Score 1,structural,aggressive,40,1,827,827,0.020556227327690448,0.9794437726723095
Score 1,structural,aggressive,40,2,827,827,0.0,1.0
Score 1,structural,aggressive,40,3,827,827,0.0,1.0
Score 1,structural,aggressive,40,5,827,827,0.0,1.0
Score 1,structural,aggressive,40,10,827,827,0.0,1.0
Score 1,structural,aggressive,40,15,827,827,0.0,1.0
Score 1,structural,aggressive,40,20,827,827,0.0,1.0
Score 1,structural,aggressive,40,30,827,827,0.0,1.0
Score 1,structural,aggressive,40,40,827,827,0.0,1.0
Score 1,structural,aggressive,40,50,827,827,0.0,1.0
Score 1,structural,aggressive,40,57,827,827,0.0,1.0
Score 1,structural,stealthy,40,1,827,826,0.2324455205811138,0.7675544794188862
