score_type,tier,regime,attack_pct,k,n_targeted,n_attacked,restoration_rate,asr_after
Score 1,structural,aggressive,10,1,205,205,0.0,1.0
Score 1,structural,aggressive,10,2,205,205,0.0,1.0
Score 1,structural,aggressive,10,3,205,205,0.0,1.0
Score 1,structural,aggressive,10,5,205,205,0.0,1.0
Score 1,structural,aggressive,10,10,205,205,0.0,1.0
Score 1,structural,aggressive,10,15,205,205,0.0,1.0
Score 1,structural,aggressive,10,20,205,205,0.0,1.0
Score 1,structural,aggressive,10,30,205,205,0.0,1.0
Score 1,structural,aggressive,10,40,205,205,0.0,1.0
Score 1,structural,aggressive,10,50,205,205,0.0,1.0
Score 1,structural,aggressive,10,57,205,205,0.0,1.0
Score 1,structural,stealthy,10,1,205,62,0.04838709677419355,0.9516129032258065
Score 1,structural,stealthy,10,2,205,62,0.04838709677419355,0.9516129032258065
Score 1,structural,stealthy,10,3,205,62,0.0,1.0
Score 1,structural,stealthy,10,5,205,62,0.0,1.0
Score 1,structural,stealthy,10,10,205,62,0.0,1.0
Score 1,structural,stealthy,10,15,205,62,0.0,1.0
Score 1,structural,stealthy,10,20,205,62,0.0,1.0
Score 1,structural,stealthy,10,30,205,62,0.0,1.0
Score 1,structural,stealthy,10,40,205,62,0.0,1.0
Score 1,structural,stealthy,10,50,205,62,0.0,1.0
Score 1,structural,stealthy,10,57,205,62,0.0,1.0
Score 1,noisy,aggressive,10,1,205,205,0.33658536585365856,0.6634146341463414
Score 1,noisy,aggressive,10,2,205,205,0.2926829268292683,0.7073170731707317
Score 1,noisy,aggressive,10,3,205,205,0.0,1.0
Score 1,noisy,aggressive,10,5,205,205,0.0,1.0
Score 1,noisy,aggressive,10,10,205,205,0.0,1.0
Score 1,noisy,aggressive,10,15,205,205,0.0,1.0
Score 1,noisy,aggressive,10,20,205,205,0.0,1.0
Score 1,noisy,aggressive,10,30,205,205,0.0,1.0
Score 1,noisy,aggressive,10,40,205,205,0.0,1.0
Score 1,noisy,aggressive,10,50,205,205,0.0,1.0
Score 1,noisy,aggressive,10,57,205,205,0.0,1.0
Score 1,noisy,stealthy,10,1,205,171,0.40350877192982454,0.5964912280701755
Score 1,noisy,stealthy,10,2,205,171,0.3742690058479532,0.6257309941520468
Score 1,noisy,stealthy,10,3,205,171,0.5847953216374269,0.41520467836257313
Score 1,noisy,stealthy,10,5,205,171,0.1286549707602339,0.8713450292397661
Score 1,noisy,stealthy,10,10,205,171,0.1286549707602339,0.8713450292397661
Score 1,noisy,stealthy,10,15,205,171,0.11695906432748537,0.8830409356725146
Score 1,noisy,stealthy,10,20,205,171,0.10526315789473684,0.8947368421052632
Score 1,noisy,stealthy,10,30,205,171,0.08187134502923976,0.9181286549707602
Score 1,noisy,stealthy,10,40,205,171,0.03508771929824561,0.9649122807017544
Score 1,noisy,stealthy,10,50,205,171,0.017543859649122806,0.9824561403508771
Score 1,noisy,stealthy,10,57,205,171,0.0,1.0
Score 1,structural,aggressive,20,1,411,411,0.0,1.0
Score 1,structural,aggressive,20,2,411,411,0.0,1.0
Score 1,structural,aggressive,20,3,411,411,0.0,1.0
Score 1,structural,aggressive,20,5,411,411,0.0,1.0
Score 1,structural,aggressive,20,10,411,411,0.0,1.0
Score 1,structural,aggressive,20,15,411,411,0.0,1.0
Score 1,structural,aggressive,20,20,411,411,0.0,1.0
Score 1,structural,aggressive,20,30,411,411,0.0,1.0
Score 1,structural,aggressive,20,40,411,411,0.0,1.0
Score 1,structural,aggressive,20,50,411,411,0.0,1.0
Score 1,structural,aggressive,20,57,411,411,0.0,1.0
Score 1,structural,stealthy,20,1,411,173,0.12138728323699421,0.8786127167630058
Score 1,structural,stealthy,20,2,411,173,0.12138728323699421,0.8786127167630058
Score 1,structural,stealthy,20,3,411,173,0.005780346820809248,0.9942196531791907
Score 1,structural,stealthy,20,5,411,173,0.0,1.0
Score 1,structural,stealthy,20,10,411,173,0.0,1.0
Score 1,structural,stealthy,20,15,411,173,0.0,1.0
Score 1,structural,stealthy,20,20,411,173,0.0,1.0
Score 1,structural,stealthy,20,30,411,173,0.0,1.0
Score 1,structural,stealthy,20,40,411,173,0.0,1.0
Score 1,structural,stealthy,20,50,411,173,0.0,1.0
Score 1,structural,stealthy,20,57,411,173,0.0,1.0
Score 1,noisy,aggressive,20,1,411,411,0.2798053527980535,0.7201946472019465
Score 1,noisy,aggressive,20,2,411,411,0.1897810218978102,0.8102189781021898
Score 1,noisy,aggressive,20,3,411,411,0.0,1.0
Score 1,noisy,aggressive,20,5,411,411,0.0,1.0
Score 1,noisy,aggressive,20,10,411,411,0.0,1.0
Score 1,noisy,aggressive,20,15,411,411,0.0,1.0
Score 1,noisy,aggressive,20,20,411,411,0.0,1.0
Score 1,noisy,aggressive,20,30,411,411,0.0,1.0
